# Name,redshift,ra,dec,OBJ_TYPE
PSO000.08054-18.23601,6.1,0.080540145,-18.23601063,HIGH_Z_QUASAR
PSO~J000.3401+26.8358,5.75,0.340119835,26.83588275,HIGH_Z_QUASAR
J0001+0006,6.13,0.38875,0.1015,HIGH_Z_QUASAR
J0001+0000,6.69,0.42725,0.015972222,HIGH_Z_QUASAR
SDSS~J0002+2550,5.817,0.6641249,25.842999,HIGH_Z_QUASAR
J0004--0049,6.1,1.190875,-0.828972222,HIGH_Z_QUASAR
SDSS~J0005--0006,5.844,1.4680833,-0.1154999,HIGH_Z_QUASAR
PSO001.68899-28.67834,5.95,1.688995344,-28.67834652,HIGH_Z_QUASAR
PSO~J002.1073--06.4345,5.93,2.10739,-6.43456,HIGH_Z_QUASAR
PSO~J002.3786+32.8702,6.1,2.378698845,32.8702578,HIGH_Z_QUASAR
PSO002.77458-11.19342,6.21,2.77458506,-11.19342452,HIGH_Z_QUASAR
J001232.88+363216.1,5.44,3.137004214,36.53780609,HIGH_Z_QUASAR
PSO~J004.3936+17.0862,5.8166,4.393613478,17.08630447,HIGH_Z_QUASAR
PSO~J004.8140--24.2991,5.68,4.81408,-24.29916,HIGH_Z_QUASAR
VDESJ0020--3653,6.834,5.13113,-36.89495,HIGH_Z_QUASAR
PSO~J006.1240+39.2219,6.621,6.124050346,39.22193646,HIGH_Z_QUASAR
PSO~J007.0273+04.9571,6.0015,7.0273318,4.9571337,HIGH_Z_QUASAR
CFHQS~J0033--0125,6.019,8.2975,-1.4235833,HIGH_Z_QUASAR
J003414.35+375954.0,5.63,8.55979167,37.99833333,HIGH_Z_QUASAR
PSO~008.60833+10.85185,6,8.608337199,10.8518576,HIGH_Z_QUASAR
PSO~J009.3573--08.1190,5.72,9.357329029,-8.119017405,HIGH_Z_QUASAR
J0038--0653,7.1,9.515758333,-6.889686111,HIGH_Z_QUASAR
DELS~J0038--1527        ,7.034,9.65041667,-15.45655556,HIGH_Z_QUASAR
PSO~J009.7355--10.4316,6.004,9.735507945,-10.4316386,HIGH_Z_QUASAR
PSO~J011.3898+09.0324,6.4695,11.3898654,9.032489854,HIGH_Z_QUASAR
VIK~J0046--2837,5.99,11.598521,-28.629817,HIGH_Z_QUASAR
CFHQS~J0050+3445,6.246,12.527771,34.756013,HIGH_Z_QUASAR
CFHQS~J0055+0146,6.006,13.7621667,1.7716111,HIGH_Z_QUASAR
J005537.064-342636.267,6.49,13.9044,-34.44341,HIGH_Z_QUASAR
J005656.04+224112.16,5.49,14.23352025,22.68671136,HIGH_Z_QUASAR
SDSS~J0100+2802,6.3268,15.05428,28.04051,HIGH_Z_QUASAR
CFHQS~J0102--0218,5.95,15.710999,-2.3027499,HIGH_Z_QUASAR
J0106--0030,6.06,16.51533333,-0.504222222,HIGH_Z_QUASAR
PSO016.70974+06.12368,6.5,16.70974987,6.123680255,HIGH_Z_QUASAR
J010806.60+071120.67,5.53,17.0275,7.189076,HIGH_Z_QUASAR
PSO~J017.06916--11.99193,5.95,17.06917388,-11.99194631,HIGH_Z_QUASAR
VIK~J0109--3047,6.7904,17.471379,-30.790642,HIGH_Z_QUASAR
J0112+0110,6.82,18.241,1.178444444,HIGH_Z_QUASAR
J012053.93+124706.20,5.42,20.22469354,21.78505786,HIGH_Z_QUASAR
PSO~J021.4213--25.8822,5.79,21.42133775,-25.88228802,HIGH_Z_QUASAR
SDSS~J0129--0035,5.7788,22.493791,-0.5943611,HIGH_Z_QUASAR
PSO~J023.0071--02.2675,5.9,23.0071,-2.26753,HIGH_Z_QUASAR
CFHQS~J0136+0226,6.206,24.013208,2.4349166,HIGH_Z_QUASAR
PSO~J025.2376--11.6831,5.85,25.23764,-11.68319,HIGH_Z_QUASAR
ATLAS~J025.6821--33.4627,6.3373,25.6821972,-33.46263,HIGH_Z_QUASAR
VDESJ0143--5545,6.25,25.79265,-55.75297,HIGH_Z_QUASAR
ULAS~J0148+0600,5.98,27.156808,6.005579,HIGH_Z_QUASAR
J0148--2826,6.6,27.2196,-28.44421667,HIGH_Z_QUASAR
J015745.45+300110.68,5.63,29.439375,30.01963333,HIGH_Z_QUASAR
PSO~J029.5172--29.0886,5.984,29.51726,-29.08868,HIGH_Z_QUASAR
ATLAS~J029.9915--36.5658,6.02,29.9915479,-36.565723,HIGH_Z_QUASAR
HSC~J0202--0251,6.03,30.74254167,-2.864888889,HIGH_Z_QUASAR
ULAS~J0203+0012,5.72,30.88493,0.2080733,HIGH_Z_QUASAR
HSC~J0206--0255,6.03,31.54666667,-2.927166667,HIGH_Z_QUASAR
CFHQS~J0210--0456,6.4323,32.554958,-4.9391388,HIGH_Z_QUASAR
PSO032.91882-17.07465,6.05,32.9188299,-17.07465937,HIGH_Z_QUASAR
