_RAJ2000,_DEJ2000,recno,PSO,zP1mag,yP1mag,WISE,W1mag,W2mag,l_W3mag,W3mag,Nobs,Mm,SpT,AName,f_AName,l_Jmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,Jmag2,f_Jmag2,Hmag2,f_Hmag2,Kmag2,f_Kmag2,Ref,2M,_RA,_DE
3.4950417,-18.2800278,1,J003.4950-18.2802,20.08,18.94,J001358.81-181648.1,14.6,14.17,,12.2,1,0,*,J003.4-18,,,16.54,,15.89,,15.04,16.68,,15.87,,15.18,e,1,2M,3.49504,-18.28003
4.1831667,23.0740833,2,J004.1834+23.0741,20.27,18.9,J001643.96+230426.7,14.29,13.65,,12.2,1,0,*,J004.1+23,,>,16.41,,15.7,>,14.97,16.58,,15.72,,15.24,e,1,2M,4.18317,23.07408
4.714625,51.8918333,3,J004.7148+51.8918,20.06,19.08,J001851.51+515330.6,13.58,13.04,,12.55,1,1,*,J004.7+51,,,16.82,,15.29,,14.64,16.7,,15.4,,14.51,e,1,2M,4.71462,51.89183
7.7918333,57.82675,4,J007.7921+57.8267,18.18,17.02,J003110.04+574936.3,12.41,11.84,,11.3,1,1,*,J007.7+57,,,14.95,,13.78,,13.22,14.8,,13.86,,13.21,e,1,2M,7.79183,57.82675
7.9193333,33.5960833,5,J007.9194+33.5961,19.62,18.6,J003140.64+333545.9,13.69,13.18,,12.03,1,0,*,J007.9+33,,,16.45,,15.43,,14.49,16.4,,15.47,e,14.69,e,1,2M,7.91933,33.59608
10.2130833,41.6087222,6,J010.2132+41.6091,19.99,19.37,J004051.14+413631.4,16.11,15.31,>,12.97,1,0,,J010.2+41,,,,,,,,18.27,,17.34,e,16.78,e,1,2M,10.21308,41.60872
23.8557083,2.0884444,7,J023.8557+02.0884,19.62,18.76,J013525.37+020518.4,14.31,13.9,>,12.04,1,0,*,J023.8+02,,,16.62,,15.48,,15.12,16.48,,15.66,,14.99,,2,2M,23.85571,2.08844
24.1512917,37.6446111,8,J024.1519+37.6443,20.46,19.84,J013636.31+373840.6,16.8,14.76,>,12.72,1,0,*,J024.1+37,,,,,,,,18.23,,17.46,,17.14,e,1,2M,24.15129,37.64461
31.5650833,20.9098056,9,J031.5651+20.9097,20.99,19.61,J020615.62+205435.3,16.6,14.7,,12.28,1,0,*,J031.5+20,,,,,,,,16.73,,17.02,,16.79,e,1,2M,31.56508,20.90981
41.542625,1.9456667,10,J041.5426+01.9456,20.1,19.06,J024610.23+015644.4,14.28,13.65,,11.75,1,0,*,J041.5+01,,>,16.88,,15.87,,15.01,16.91,,15.85,,15.1,e,1,2M,41.54262,1.94567
48.980375,7.5415556,11,J048.9806+07.5414,20.11,19.03,J031555.29+073229.6,14.63,14.14,,12.47,1,0,*,J048.9+07,,,17.02,,15.83,,15.43,16.95,,16.19,,15.65,e,1,2M,48.98037,7.54156
49.1122917,17.0884722,12,J049.1124+17.0885,20.24,19.17,J031626.95+170518.5,15.23,14.63,,12.14,1,0,*,J049.1+17,,,16.96,,16.39,,15.75,17.06,,16.43,,15.96,e,1,2M,49.11229,17.08847
49.11575,26.841,13,J049.1159+26.8409,20.09,18.65,J031627.78+265027.6,15.08,13.97,>,12.47,1,0,*,J049.1+26,,,16.59,,15.59,>,15.16,16.11,,15.82,,15.5,e,1,2M,49.11575,26.841
52.7214167,-3.8409167,14,J052.7214-03.8409,19.78,18.58,J033053.14-035027.3,13.65,12.93,,12.07,1,0,*,J052.7-03,,,16.47,,15.16,,14.72,16.26,,15.24,,14.58,e,1,2M,52.72142,-3.84092
53.3677917,30.9665,15,J053.3683+30.9663,18.64,17.67,J033328.27+305759.4,11.98,11.48,,12.22,1,0,,J053.3+30,,,15.13,,13.7,,12.96,15.09,,13.75,,12.94,,2,2M,53.36779,30.9665
54.814875,-11.7791667,16,J054.8149-11.7792,19.98,18.99,J033915.57-114645.0,14.44,13.98,>,12.81,1,0,*,J054.8-11,,,16.79,,15.83,,15.06,16.71,,15.75,,14.97,e,1,2M,54.81487,-11.77917
55.0492083,-21.1703333,17,J055.0493-21.1704,20.59,19.2,J034011.81-211013.2,15.53,14.5,>,12.5,1,0,*,J055.0-21,,,,,,,,16.95,,16.29,,16.12,e,1,2M,55.04921,-21.17033
