Table 1 
Pan-STARRS1 and WISE All-sky Photometry


Pan-STARRS1 Name	${z}_{{\rm{P}}1}$	${y}_{{\rm{P}}1}$	WISE Name	W1	W2	W3	
	(mag)	(mag)		(mag)	(mag)	(mag)	
PSO J003.4950-18.2802	20.08 +or- 0.04	18.94 +or- 0.07	J001358.81-181648.1	14.60 +or- 0.04	14.17 +or- 0.05	12.20 +or- 0.35	
PSO J004.1834+23.0741	20.27 +or- 0.06	18.90 +or- 0.03	J001643.96+230426.7	14.29 +or- 0.03	13.65 +or- 0.04	12.20 +or- 0.35	
PSO J004.7148+51.8918	20.06 +or- 0.06	19.08 +or- 0.07	J001851.51+515330.6	13.58 +or- 0.04	13.04 +or- 0.04	12.55 +or- 0.34	
PSO J007.7921+57.8267	18.18 +or- 0.01	17.02 +or- 0.01	J003110.04+574936.3	12.41 +or- 0.02	11.84 +or- 0.02	11.30 +or- 0.10	
PSO J007.9194+33.5961	19.62 +or- 0.03	18.60 +or- 0.02	J003140.64+333545.9	13.69 +or- 0.03	13.18 +or- 0.03	12.03 +or- 0.23	
PSO J010.2132+41.6091	19.99 +or- 0.06	19.37 +or- 0.04	J004051.14+413631.4	16.11 +or- 0.07	15.31 +or- 0.09	>12.97	
PSO J023.8557+02.0884	19.62 +or- 0.02	18.76 +or- 0.02	J013525.37+020518.4	14.31 +or- 0.03	13.90 +or- 0.05	>12.04	
PSO J024.1519+37.6443	20.46 +or- 0.11	19.84 +or- 0.08	J013636.31+373840.6	16.80 +or- 0.09	14.76 +or- 0.06	>12.72	
PSO J031.5651+20.9097	20.99 +or- 0.23	19.61 +or- 0.05	J020615.62+205435.3	16.60 +or- 0.09	14.70 +or- 0.06	12.28 +or- 0.34	
PSO J041.5426+01.9456	20.10 +or- 0.02	19.06 +or- 0.03	J024610.23+015644.4	14.28 +or- 0.03	13.65 +or- 0.04	11.75 +or- 0.25	
PSO J048.9806+07.5414	20.11 +or- 0.04	19.03 +or- 0.05	J031555.29+073229.6	14.63 +or- 0.04	14.14 +or- 0.05	12.47 +or- 0.50	
PSO J049.1124+17.0885	20.24 +or- 0.03	19.17 +or- 0.04	J031626.95+170518.5	15.23 +or- 0.05	14.63 +or- 0.08	12.14 +or- 0.35	
PSO J049.1159+26.8409	20.09 +or- 0.03	18.65 +or- 0.02	J031627.78+265027.6	15.08 +or- 0.05	13.97 +or- 0.05	>12.47	
PSO J052.7214-03.8409	19.78 +or- 0.04	18.58 +or- 0.02	J033053.14-035027.3	13.65 +or- 0.03	12.93 +or- 0.03	12.07 +or- 0.30	
PSO J053.3683+30.9663	18.64 +or- 0.02	17.67 +or- 0.02	J033328.27+305759.4	11.98 +or- 0.03	11.48 +or- 0.03	12.22 +or- 0.42	
PSO J054.8149-11.7792	19.98 +or- 0.03	18.99 +or- 0.06	J033915.57-114645.0	14.44 +or- 0.03	13.98 +or- 0.04	>12.81	
PSO J055.0493-21.1704	20.59 +or- 0.06	19.20 +or- 0.04	J034011.81-211013.2	15.53 +or- 0.05	14.50 +or- 0.06	>12.50	
PSO J057.2893+15.2433	20.76 +or- 0.06	19.75 +or- 0.11	J034909.44+151436.0	13.85 +or- 0.03	13.21 +or- 0.03	>12.07	
PSO J060.3200+25.9645	20.05 +or- 0.02	19.09 +or- 0.03	J040116.80+255752.2	15.05 +or- 0.04	14.36 +or- 0.07	>12.39	
PSO J068.3126+52.4546	20.50 +or- 0.04	19.20 +or- 0.04	J043315.02+522716.7	13.98 +or- 0.03	13.01 +or- 0.04	>11.71	
PSO J068.9292+13.3958	20.22 +or- 0.06	19.12 +or- 0.03	J043542.99+132344.9	14.25 +or- 0.03	13.74 +or- 0.06	>11.88	
PSO J070.3773+04.7333	20.69 +or- 0.10	19.04 +or- 0.04	J044130.52+044359.9	15.74 +or- 0.07	14.40 +or- 0.09	>12.35	
PSO J071.4708+36.4930	19.94 +or- 0.03	18.99 +or- 0.03	J044552.98+362935.0	14.24 +or- 0.03	13.83 +or- 0.05	>12.51	
PSO J071.6394-24.4991	19.51 +or- 0.02	18.48 +or- 0.03	J044633.45-242956.8	14.27 +or- 0.03	13.77 +or- 0.04	12.42 +or- 0.33	
PSO J071.8769-12.2713	20.37 +or- 0.04	18.85 +or- 0.04	J044730.40-121616.4	14.96 +or- 0.03	14.24 +or- 0.04	12.61 +or- 0.42	
PSO J076.1314+25.1940	20.72 +or- 0.05	19.62 +or- 0.08	J050431.53+251138.5	13.86 +or- 0.03	13.42 +or- 0.04	11.69 +or- 0.24	
PSO J076.7092+52.6087	20.00 +or- 0.03	18.25 +or- 0.02	J050650.20+523631.2	14.94 +or- 0.04	13.73 +or- 0.05	12.27 +or- 0.36	
PSO J077.1034+24.3810	20.21 +or- 0.04	19.19 +or- 0.06	J050824.82+242251.1	15.30 +or- 0.06	14.51 +or- 0.08	12.37 +or- 0.47	
PSO J078.9904+31.0171	19.76 +or- 0.02	18.74 +or- 0.03	J051557.68+310101.8	14.88 +or- 0.04	14.25 +or- 0.08	>12.26	
PSO J085.3474+36.3037	19.99 +or- 0.07	18.75 +or- 0.03	J054123.39+361813.1	12.77 +or- 0.03	12.17 +or- 0.03	9.94 +or- 0.06	
PSO J087.7749-12.6537	19.71 +or- 0.02	18.76 +or- 0.03	J055105.96-123913.5	13.87 +or- 0.03	13.40 +or- 0.04	>11.98	
PSO J088.0452+43.2123	19.69 +or- 0.03	18.67 +or- 0.02	J055210.83+431244.2	14.26 +or- 0.03	13.82 +or- 0.04	>12.10	
PSO J088.3324-24.4439	19.83 +or- 0.03	18.86 +or- 0.03	J055319.77-242638.0	15.61 +or- 0.05	15.06 +or- 0.09	>12.96	
PSO J100.5233+41.0320	19.74 +or- 0.03	18.63 +or- 0.02	J064205.58+410155.5	13.36 +or- 0.03	12.55 +or- 0.03	11.70 +or- 0.31	
PSO J101.8428+39.7462	19.71 +or- 0.02	18.71 +or- 0.03	J064722.28+394446.3	15.30 +or- 0.05	14.65 +or- 0.08	>12.23	
PSO J103.0927+41.4601	18.88 +or- 0.02	17.64 +or- 0.01	J065222.24+412736.1	13.13 +or- 0.02	12.44 +or- 0.03	11.80 +or- 0.25	
PSO J105.4992+63.3581	19.47 +or- 0.03	17.99 +or- 0.01	J070159.79+632129.2	14.20 +or- 0.03	13.22 +or- 0.03	12.48 +or- 0.42	
PSO J108.4590+38.2086	20.15 +or- 0.03	19.08 +or- 0.04	J071350.14+381230.6	13.98 +or- 0.03	13.51 +or- 0.04	>12.69	
PSO J109.4864+46.5278	20.65 +or- 0.06	19.20 +or- 0.06	J071756.71+463140.3	15.40 +or- 0.05	14.77 +or- 0.08	>12.54	
PSO J115.0659+59.0473	19.62 +or- 0.02	18.67 +or- 0.02	J074015.81+590250.2	15.31 +or- 0.04	14.90 +or- 0.09	>12.78	
PSO J117.1608+17.7259	19.38 +or- 0.03	18.43 +or- 0.02	J074838.58+174333.0	13.74 +or- 0.03	13.32 +or- 0.03	>12.55	
PSO J127.4696+10.5777	20.23 +or- 0.04	19.42 +or- 0.04	J082952.73+103440.4	14.35 +or- 0.03	13.70 +or- 0.05	11.27 +or- 0.24	
PSO J133.8016-02.5658	19.53 +or- 0.03	18.34 +or- 0.01	J085512.39-023356.8	14.17 +or- 0.03	13.57 +or- 0.04	>12.69	
PSO J133.8302+06.0160	19.11 +or- 0.02	18.34 +or- 0.02	J085519.22+060057.6	14.77 +or- 0.04	14.24 +or- 0.06	>11.87	
PSO J135.0395+32.0845	18.78 +or- 0.02	17.76 +or- 0.02	J090009.49+320504.2	13.96 +or- 0.03	13.44 +or- 0.04	>11.97	
PSO J135.7840+16.9932	19.87 +or- 0.02	18.73 +or- 0.04	J090308.17+165935.4	14.53 +or- 0.04	13.99 +or- 0.05	>12.35	
