t1_index,t1_ra,t1_dec,coadd_object_id,dec,i_z,ra,dist_arcsec
WISEPC J003402.80-005207.4,8.511666666666665,-0.8687222222222223,1079600269,-0.869407,0.337675,8.512211,3.149025213273261
WISEPC J005911.09-011400.6,14.79620833333333,-1.2335,1125059577,-1.233612,76.32854,14.797096,3.220201373632284
WISEPC J020742.96+000056.9,31.929,0.0158055555555555,1243184175,0.015553,3.597654,31.929255,1.2920404703055994
WISEPC J024313.48-245331.5,40.80616666666666,-24.89208333333333,1328079736,-24.892615,3.731367,40.805595,2.673646208637165
WISEPA J024749.98-163111.4,41.95824999999999,-16.51983333333333,1338013577,-16.519609,2.490999,41.958976,2.6326466685418626
WISEPC J034807.34-602234.9,57.030583333333325,-60.37636111111111,1413738236,-60.377196,3.013458,57.029973,3.1958042469525947
WISEPA J051035.35-420809.2,77.64729166666666,-42.135888888888886,1616348580,-42.136459,0.277235,77.647073,2.133801746895141
WISEPA J051859.89-282840.2,79.74954166666666,-28.477833333333333,1548372626,-28.478406,2.172749,79.749451,2.0814680507215657
WISEPC J212414.00+010002.6,321.0583333333333,1.0007222222222223,920214585,1.001027,3.422348,321.05854,1.3255998437094125
WISEPC J215138.86-485356.2,327.9119166666666,-48.898944444444446,939274390,-48.899375,3.457054,327.912844,2.6867917644956933
WISEPC J220415.66-564723.5,331.06524999999993,-56.78986111111111,949223699,-56.790869,0.067909,331.065384,3.6380069734678
WISEPC J222829.00-431029.4,337.1208333333332,-43.17483333333333,963738348,-43.175621,3.405272,337.121173,2.9725134017276553
WISEPC J233123.87-471828.0,352.8494583333333,-47.30777777777777,1010573384,-47.307961,3.710339,352.849637,0.7907460052106127
WISEPC J014435.67-071616.3,26.148625,-7.271194444444444,1311177877,-7.271539,1.736433,26.149271,2.6192301166173086
WISEPC J020333.45-010813.4,30.88937499999999,-1.1370555555555557,1232403235,-1.136876,2.308615,30.89004,2.4792765944375827
WISEPC J020529.69-115929.1,31.373708333333333,-11.991416666666666,1235441902,-11.991378,2.05356,31.374359,2.2955104750752753
