# Name,redshift,ra_1,dec_1,OBJ_TYPE,COADD_OBJECT_ID,RA_2,DEC_2,MAG_APER_4_G,MAG_APER_4_R,MAG_APER_4_I,MAG_APER_4_Z,MAG_APER_4_Y,MAGERR_APER_4_G,MAGERR_APER_4_R,MAGERR_APER_4_I,MAGERR_APER_4_Z,MAGERR_APER_4_Y,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist,SrcID,RAJ2000_x,DEJ2000_x,FrameID,PriOrSec,Y-Jpnt,J-Hpnt,H-Kspnt,J-Kspnt,Y-Jext,J-Hext,H-Ksext,J-Ksext,Mclass,Ypmag,e_Ypmag,Yap3,e_Yap3,Yapc3,Yavgap3,Yperrbits,Jpmag,e_Jpmag,Jap3,e_Jap3,Japc3,Javgap3,Jperrbits,Hpmag,e_Hpmag,Hap3,e_Hap3,Hapc3,Havgap3,Hperrbits,Kspmag,e_Kspmag,Ksap3,e_Ksap3,Ksapc3,Ksavgap3,Ksperrbits,prim,angDist_x,Separation
PSO~J002.1073--06.4345,5.93,2.10739,-6.43456,HIGH_Z_QUASAR,1041512165,2.107414,-6.434606,99.0,24.43568611,21.97932816,20.72262192,21.04501534,99.0,0.1614005,0.02716854,0.01776127,0.0755235,J000825.76-062604.4,2.1073695,-6.4345725,0.2932,0.2666,151.7,16.809,15.684,11.892,8.759,,,,0.107,0.141,,,,,,15006101351023236,0000,0,nnnn,ABUU,-361,1138,-300,1197,,0.199556,473517339161,2.107404,-6.434564,472446411422,472446411422,,,,1.5094,,,,1.5924,-1,,,,,,,0,19.4467,0.1092,19.3657,0.0567,19.624,101.154,0,,,,,,,0,18.002,0.2498,17.8564,0.1087,18.0316,101.657,0,1.0,0.154965,0.18653301199997305
VDESJ0143--5545,6.25,25.79265,-55.75297,HIGH_Z_QUASAR,1197311621,25.792719,-55.752976,99.0,27.76381111,24.37832642,20.85076523,21.27628136,99.0,2.69338608,0.22558422,0.01944921,0.07441999,J014310.31-554510.3,25.7929718,-55.7528868,0.2289,0.21,128.6,16.951,15.733,12.269,9.177,,,,0.088,0.103,,,,,,266056101351040579,0000,0,nnnn,AAUU,308,931,-277,914,,0.604642,472697202327,25.792607,-55.753009,472446404604,0,,,,1.417,,,,1.5799,1,,,,,,,0,19.8516,0.2705,19.6694,0.1124,20.0658,100.353,0,,,,,,,0,17.9421,0.2891,18.2524,0.1808,18.4859,100.866,0,1.0,0.255183,0.14144903397898925
ATLAS~J029.9915--36.5658,6.02,29.9915479,-36.565723,HIGH_Z_QUASAR,1228745162,29.99159,-36.565741,27.53241348,24.03155708,21.85709763,19.87908173,20.03457069,1.41669464,0.07489354,0.0173088,0.00543188,0.02054872,J015957.97-363356.6,29.9915479,-36.5657237,0.2239,0.2037,134.9,16.696,15.873,12.619,8.763,,,,0.079,0.125,,,,,,298036401351018986,0000,0,0nnn,ABUU,860,906,-1147,909,,0.136599,472786749455,29.991524,-36.565717,472446405320,472446404398,,,,1.1495,,,,1.2663,-1,,,,,,,0,18.2363,0.0989,18.5848,0.049,18.9703,29.836,8388736,,,,,,,0,17.3429,0.2097,17.4353,0.0966,17.7039,30.501,8388736,0.0,0.209556,0.13790213661974354
ULAS~J0203+0012,5.72,30.88493,0.2080733,HIGH_Z_QUASAR,1231372007,30.884928,0.208119,99.0,25.44441414,22.16158676,20.91609001,21.1142807,99.0,0.2876417,0.02517885,0.01393497,0.06746146,J020332.38+001229.0,30.8849529,0.2080576,0.2535,0.2341,145.8,16.691,16.019,12.319,9.065,,,,0.086,0.186,0.4,,,,,302100001351048969,0000,0,0nnn,ABCU,101,625,165,645,,0.238587,473816803081,30.884904,0.20814,472446413895,472446413895,,0.9897,0.6409,1.6305,,1.0686,0.6921,1.7607,-1,,,,,,,0,18.842,0.1358,18.8554,0.0619,19.2551,102.14,4096,17.9715,0.113,17.8657,0.0538,18.1865,101.623,4096,17.4042,0.1686,17.2248,0.0672,17.4944,102.352,4096,1.0,0.11683,0.16467747179339007
PSO032.91882-17.07465,6.05,32.9188299,-17.07465937,HIGH_Z_QUASAR,1250552714,32.918876,-17.074659,27.49442101,27.80454636,23.60798454,20.97389984,21.07722855,1.28687906,2.21141577,0.08062673,0.01806715,0.06853328,J021140.48-170428.9,32.9187049,-17.0747013,0.4098,0.3735,148.4,17.365,16.05,12.054,8.658,,,,0.159,0.173,,,,,,330016701351019141,0000,0,nnnn,BBUU,-1748,1450,-686,1524,,0.6083,473139937786,32.918817,-17.07464,472446408274,0,,,,1.4217,,,,1.5142,1,,,,,,,0,19.425,0.1603,19.5747,0.0912,19.8702,111.03,0,,,,,,,0,17.5777,0.2296,18.1529,0.1587,18.356,110.996,0,1.0,0.213427,0.15865056773629332
VDESJ0224--4711,6.526,36.11057,-47.19149,HIGH_Z_QUASAR,1271696125,36.110612,-47.191489,27.33481216,26.31922531,24.56261635,20.50878906,20.37194824,1.40083718,0.79656869,0.25065821,0.01233007,0.03132004,J022426.53-471129.3,36.1105622,-47.1914897,0.1359,0.1242,134.0,16.182,15.421,12.727,9.12,,,,0.051,0.076,,,,,,370047001351013948,0h00,0,00nn,AAUU,874,510,-1130,510,,0.121843,473631132122,36.110596,-47.191497,472446412322,0,,0.7321,0.9286,1.6607,,0.7843,0.9707,1.755,-1,,,,,,,0,18.9611,0.1372,18.8137,0.0617,19.0874,100.072,0,18.3056,0.1608,18.0816,0.0701,18.3031,98.882,0,17.1762,0.1057,17.153,0.0588,17.3323,99.599,0,1.0,0.047537,0.10281105025361943
PSO~J042.6690--02.9174,5.89,42.66909,-2.91745,HIGH_Z_QUASAR,1342658123,42.669104,-2.917483,27.21358871,24.33748055,21.97939682,20.75307465,20.75058365,1.43014586,0.13219172,0.02824068,0.01484022,0.05541904,J025040.59-025502.3,42.6691506,-2.917321,0.5573,0.4964,151.2,17.579,16.511,11.538,8.425,,,,0.174,,,,,,,423003101351027604,0000,0,nnnn,BUUU,639,1439,-1902,1523,,0.606689,473104836054,42.669064,-2.917439,472446407980,0,,,,0.7193,,,,0.844,-2,,,,,,,0,18.8077,0.1718,19.3021,0.0908,19.6663,100.837,0,,,,,,,0,19.2726,0.8411,18.5828,0.2981,18.8223,102.234,0,1.0,0.215122,0.1290233296758859
PSO~J056.7168--16.4769,5.967,56.71685,-16.47691,HIGH_Z_QUASAR,1413280997,56.71689,-16.47694,27.93044281,24.26558113,21.65839005,20.1545639,20.52226448,2.31636453,0.08974764,0.01632104,0.0079669,0.03616441,J034652.10-162836.8,56.7171032,-16.4768946,0.2517,0.2311,155.6,16.8,15.865,12.635,9.023,,,,0.089,0.14,,,,,,565016701351043061,0000,0,nnnn,ABUU,-906,920,-406,975,,0.754061,472636398128,56.716849,-16.476901,472446404074,0,,,,1.2955,,,,1.4494,1,,,,,,,0,18.9697,0.1795,19.1686,0.0689,19.5799,103.446,0,,,,,,,0,17.6558,0.2978,17.8732,0.1503,18.1306,101.982,0,1.0,0.201529,0.17530511105985583
VDESJ0408--5632,6.03,62.08012,-56.54134,HIGH_Z_QUASAR,1456016600,62.08016,-56.541322,99.0,25.49680138,22.68726349,20.34235001,20.38007164,99.0,0.32979271,0.04784128,0.00883054,0.0300268,J040819.33-563228.2,62.0805821,-56.5411821,0.3407,0.3082,129.2,17.734,16.841,12.756,9.483,,,,0.117,0.184,,,,,,613056101351003666,0000,0,nnnn,BBUU,-987,1158,660,1119,,0.977589,472640675435,62.080119,-56.541358,472446404114,0,,,,1.1049,,,,1.2513,-2,,,,,,,0,19.0012,0.1274,18.9688,0.059,19.4481,111.048,0,,,,,,,0,17.6521,0.256,17.8639,0.1368,18.1968,111.036,0,1.0,0.153592,0.10248011915111425
VDESJ0420--4453,6.07,65.04727,-44.88993,HIGH_Z_QUASAR,1470729144,65.047291,-44.889922,99.0,25.62434959,23.11535263,20.60022354,21.00480461,99.0,0.27626523,0.05512013,0.01019892,0.05737825,J042011.37-445324.1,65.0473824,-44.8900497,0.2449,0.2222,142.4,17.216,16.822,12.428,9.055,,,,0.079,0.2,,,,,,660045501351064179,0000,0,nnnn,ABUU,354,620,-956,631,,0.51538,473021394703,65.047267,-44.889928,472446407259,0,,,,1.4311,,,,1.5671,-2,,,,,,,0,19.6674,0.2603,19.6307,0.1185,20.0328,100.41,0,,,,,,,0,18.171,0.374,18.1996,0.1877,18.4657,99.982,0,1.0,0.063684,0.060812005897080676
PSO~J065.5041--19.4579,6.1247,65.50414653,-19.45796853,HIGH_Z_QUASAR,1471313744,65.504173,-19.457955,26.59708977,27.38934326,23.65825272,19.88391495,20.79218674,0.57162601,1.55188882,0.08582494,0.00547197,0.0392475,J042200.98-192729.0,65.5041116,-19.4580568,0.132,0.1197,158.9,15.969,15.083,12.07,8.894,,,,0.052,0.069,0.311,0.434,,,,656019701351045816,0000,0,00nn,AABC,112,438,512,475,,0.421541,473716978419,65.50414,-19.457968,472446413061,0,,,,1.5999,,,,1.6731,-1,,,,,,,0,18.9121,0.0781,18.9743,0.0409,19.3011,110.995,0,,,,,,,0,17.2736,0.1533,17.3744,0.0796,17.628,110.999,0,1.0,0.121232,0.10220275547560081
VDESJ0454--4448,6.0581,73.50744,-44.80864,HIGH_Z_QUASAR,1513805078,73.507464,-44.808624,99.0,25.51425552,22.93239594,20.48654556,20.55944633,99.0,0.25823423,0.04174669,0.00948916,0.02829469,J045401.80-444830.6,73.5075182,-44.8085196,0.2221,0.1974,155.3,16.976,16.284,12.573,8.645,,,,0.075,0.14,,,,,,745045501351063544,0000,0,nnnn,ABUU,-79,822,3163,886,,0.400493,473699008669,73.507444,-44.808655,472446412902,0,,,,1.0239,,,,1.0861,-1,,,,,,,0,19.3993,0.1392,19.3,0.072,19.6049,101.848,0,,,,,,,0,18.5876,0.459,18.2761,0.1782,18.5188,101.489,0,1.0,0.122212,0.08411404634531533
