# generated using QSOGen (Temple+2021) https://arxiv.org/abs/2109.04472
# g,r,i,z,Y are for DECam and AB
# J,H,Ks are VISTA and AB
# WISE are in Vega (and therefore K2-W1 or z-W1 are in the weird AB-VEGA convention)
redshift g-r r-i i-z z-Y Y-J J-H H-Ks Ks-W1 W1-W2 W2-W3 W3-W4
5.500000000000000000e+00 inf 1.547297854472734713e+00 5.106688552613327658e-01 1.947151575428485160e-01 6.538649402859419979e-02 9.005166342692660919e-02 6.927312863818002597e-02 2.524127405566435556e+00 8.003984215552222281e-01 3.136284777793875378e+00 2.219988031012338325e+00
5.503006012024048488e+00 inf 1.536785695655801476e+00 5.216218328413653182e-01 1.940452524864539896e-01 6.751343066852300012e-02 8.950749340874963877e-02 6.995159681348894765e-02 2.524628906608359813e+00 8.005097591920282696e-01 3.134897822222004748e+00 2.220607887116308632e+00
5.506012024048096087e+00 inf 1.540059971487028889e+00 5.227655727098472482e-01 1.932850388609459458e-01 6.963837246547655013e-02 8.904820886020559101e-02 7.062569534131313276e-02 2.526320210184803017e+00 7.995206257035860631e-01 3.133547049611596691e+00 2.221125253785512399e+00
5.509018036072144575e+00 inf 1.548162213106834884e+00 5.142332812900605177e-01 1.924905045337688136e-01 7.177296372923436252e-02 8.855501985373592788e-02 7.127911304977629925e-02 2.528276152051525116e+00 7.987450784258527392e-01 3.131712451479552684e+00 2.221652727649708225e+00
5.512024048096192175e+00 inf 1.543351216985477947e+00 5.253869010155902686e-01 1.915954710350185053e-01 7.398161086880605808e-02 8.805486097919512645e-02 7.187886748809901860e-02 2.528763280940555802e+00 7.979732992732628816e-01 3.130784529146682260e+00 2.222655451652668646e+00
5.515030060120240663e+00 inf 1.541191546473850593e+00 5.268723139213413731e-01 1.906887088579196643e-01 7.617013986209286713e-02 8.754069389187790762e-02 7.243689600008806906e-02 2.527990240724687254e+00 7.979586810063388214e-01 3.129996401672240580e+00 2.223969408687139548e+00
5.518036072144288262e+00 inf 1.535258052070311408e+00 5.381552873744084309e-01 1.896767544286745988e-01 7.833536914378314009e-02 8.711167854641743702e-02 7.302901408511885961e-02 2.527381787258686785e+00 7.990138955189607373e-01 3.128659668591106779e+00 2.224713420487072213e+00
5.521042084168336750e+00 inf 1.544047086572593486e+00 5.297625684654470035e-01 1.886641672818356597e-01 8.056742574612130170e-02 8.661127258958245534e-02 7.360235861673913860e-02 2.527518296041609602e+00 7.993522790526483845e-01 3.127350275427197346e+00 2.225415458741711205e+00
5.524048096192384349e+00 inf 1.547927151582623395e+00 5.314482591162104086e-01 1.875608170560738586e-01 8.280320767867976883e-02 8.613307527189917323e-02 7.417212402355843892e-02 2.528974149403445892e+00 7.989669021909335811e-01 3.125546824267614099e+00 2.226038735661338919e+00
5.527054108216432837e+00 inf 1.541154654823529313e+00 5.430730261783054402e-01 1.864368359723158619e-01 8.498105958080515165e-02 8.572836216028179024e-02 7.473720235045533400e-02 2.531518730469638712e+00 7.969004993298618444e-01 3.124474809512268081e+00 2.226549063947018681e+00
5.530060120240481325e+00 inf 1.539349790229703530e+00 5.447578191140749482e-01 1.852576931286797901e-01 8.724487607393527355e-02 8.525072872012628977e-02 7.525198057120263684e-02 2.532949817580817609e+00 7.955425051355931032e-01 3.123389552177108897e+00 2.227417854010111498e+00
5.533066132264528925e+00 inf 1.554462092074018642e+00 5.366887582060542172e-01 1.840258684432356517e-01 8.949413939998862588e-02 8.482156127820061897e-02 7.578027075350490804e-02 2.532626877711393831e+00 7.965817474939917986e-01 3.121949767032573320e+00 2.228047935510275579e+00
5.536072144288577412e+00 inf 1.544505471400960062e+00 5.485598644794933421e-01 1.827803964884608945e-01 9.178816096365594035e-02 8.434017335295962425e-02 7.628982541373119375e-02 2.531350254802863020e+00 7.984184091647996695e-01 3.120628057882502304e+00 2.228715178775432904e+00
5.539078156312625012e+00 inf 1.545682356998305806e+00 5.504502745976935785e-01 1.814427193587420106e-01 9.400561617918867796e-02 8.398832861208660461e-02 7.672737443120425382e-02 2.529735681958900528e+00 7.998433933377313565e-01 3.119244312205822212e+00 2.230068756325715995e+00
5.542084168336673500e+00 inf 1.534394755825715606e+00 5.624076197172058755e-01 1.801356538454434997e-01 9.630052845751890800e-02 8.352641286206363702e-02 7.721581981199676648e-02 2.529812784947505833e+00 7.998813302415612725e-01 3.118323606093488465e+00 2.230781945992340809e+00
5.545090180360721099e+00 inf 1.551017172760143836e+00 5.543661978937031165e-01 1.787198387761534946e-01 9.862841794945609308e-02 8.310266411335121006e-02 7.769202056821455926e-02 2.531198115990662245e+00 7.991441372087635386e-01 3.117029200047241488e+00 2.231362819069708792e+00
5.548096192384769587e+00 inf 1.548320172794291238e+00 5.564375529217677752e-01 1.773321666532226004e-01 1.008306608810052296e-01 8.277874016150832404e-02 7.816567491147452529e-02 2.533078981964440146e+00 7.981876162540579855e-01 3.115539842337541998e+00 2.231878446710949149e+00
5.551102204408818075e+00 inf 1.540881970850609406e+00 5.684335975816168229e-01 1.758700080112411968e-01 1.032014902799147649e-01 8.233465227140612797e-02 7.859482659461392018e-02 2.534135650825373176e+00 7.972556308488698562e-01 3.114365238873842756e+00 2.232804685776361708e+00
5.554108216432865675e+00 inf 1.548738461375450015e+00 5.603483816194056999e-01 1.743944677036459723e-01 1.054687969581173945e-01 8.197039235476211161e-02 7.905343890173455179e-02 2.534444262684246496e+00 7.979671335435689628e-01 3.112689734847318590e+00 2.233402645210492921e+00
5.557114228456914162e+00 inf 1.554896655368679603e+00 5.625814676814897553e-01 1.729031664498670295e-01 1.078116766241095092e-01 8.158142441906335307e-02 7.947654036901852237e-02 2.533952645779702806e+00 7.987269982855664807e-01 3.111706034469904125e+00 2.234055006162515511e+00
5.560120240480961762e+00 inf 1.547251898447079554e+00 5.748982162458631251e-01 1.713614138562817857e-01 1.100872532766032919e-01 8.126411605719852105e-02 7.988568215827385188e-02 2.533868830364244928e+00 7.993721346315076914e-01 3.110401511800938934e+00 2.234733660145106882e+00
5.563126252505010250e+00 inf 1.544621104329799266e+00 5.769946835625638926e-01 1.698166728201648823e-01 1.124025879605241585e-01 8.089007846037432614e-02 8.025471973704156881e-02 2.534308961073634237e+00 7.983868228901904729e-01 3.109422003716666438e+00 2.236071924989861515e+00
5.566132264529057849e+00 inf 1.561433243130544213e+00 5.690958655860924864e-01 1.682232738578441911e-01 1.147422516645839607e-01 8.051989196966147233e-02 8.066535194888402316e-02 2.536788915849275128e+00 7.966832059143662548e-01 3.108066348483244923e+00 2.236618694832650078e+00
5.569138276553106337e+00 inf 1.549106548668543581e+00 5.816452154363958016e-01 1.666306358571425505e-01 1.169671464772257252e-01 8.027740680115158511e-02 8.105134000786051729e-02 2.539009073133840388e+00 7.954768993909659969e-01 3.106510587176920524e+00 2.237134659055360686e+00
5.572144288577153937e+00 inf 1.550819389691739048e+00 5.839888355947344678e-01 1.650175558923763219e-01 1.193393940150038190e-01 7.989545415564336395e-02 8.141906572833690348e-02 2.539172555691546762e+00 7.951743876065506811e-01 3.105604064633823214e+00 2.238077495526047400e+00
5.575150300601202424e+00 inf 1.540696308773608081e+00 5.967698971798895968e-01 1.633723255062946578e-01 1.216434094903249274e-01 7.957783786115868452e-02 8.180466685913501124e-02 2.537877707171418251e+00 7.971142505146673329e-01 3.104269895018415326e+00 2.238722099610487959e+00
5.578156312625250912e+00 inf 1.554802062322519163e+00 5.885981682854826147e-01 1.617080185316481789e-01 1.239747339913002122e-01 7.928325017008219788e-02 8.216230914843691835e-02 2.536644598442631349e+00 7.988784286654002642e-01 3.103061769246574286e+00 2.239358961573062246e+00
5.581162324649298512e+00 inf 1.553950493372852293e+00 5.911195490428120536e-01 1.600186703233639207e-01 1.262882788657577748e-01 7.899713518825990377e-02 8.251258326566812684e-02 2.536388509460071106e+00 7.996739683123728071e-01 3.101831547600482963e+00 2.240006837144115082e+00
5.584168336673347000e+00 inf 1.546632023815334378e+00 6.040125761063066534e-01 1.583331003445316298e-01 1.286232349227596217e-01 7.868003676116330780e-02 8.287871875041119551e-02 2.537420988502237407e+00 7.994150016063343855e-01 3.100394475752782597e+00 2.240632421487880777e+00
5.587174348697394599e+00 inf 1.550667194014717865e+00 6.063359710948361680e-01 1.566405525399474641e-01 1.309544177731254422e-01 7.837695968559899029e-02 8.324059476006340219e-02 2.539407668985873556e+00 7.979703771680881630e-01 3.099293341352442610e+00 2.241166159437952388e+00
