col1,RA,Dec,W1-W2,DES,RAJ2000,DEJ2000,CoadID,Aimg,Bimg,PA,ExtClsCoad,ExtClsWavg,gFlag,rFlag,iFlag,zFlag,yFlag,gmag,rmag,imag,zmag,Ymag,e_gmag,e_rmag,e_imag,e_zmag,e_Ymag,angDist
WISEPC J020742.96+000056.9,31.929,0.015805555555555555,1.3679999999999986,DES J020743.02+000055.9,31.929255,0.015553,1243184175,2.451,2.266,-84.31,2,1,0,0,0,0,0,,,23.7553,20.1577,19.2712,99.0,99.0,0.2292,0.0162,0.0283,1.292206
WISEPC J212414.00+010002.6,321.0583333333333,1.0007222222222223,1.4649999999999999,DES J212414.04+010003.6,321.05854,1.001027,920214585,3.06,2.088,33.52,3,0,3,3,3,3,3,,,22.7953,19.373,18.3969,99.0,99.0,0.1091,0.0085,0.0141,1.325235
WISEPC J233123.87-471828.0,352.8494583333333,-47.30777777777777,1.4319999999999986,DES J233123.91-471828.6,352.849637,-47.307961,1010573384,2.488,2.343,-42.138,2,1,0,0,0,0,0,,25.6339,22.7685,19.0581,17.9291,99.0,0.7328,0.0893,0.0059,0.0068,0.79087
WISEPC J021828.98-313324.1,34.620749999999994,-31.556694444444446,0.3179999999999996,DES J021828.91-313325.2,34.620489,-31.557026,1262804856,3.313,2.808,58.949,2,0,0,0,0,0,0,24.6819,21.1985,18.8208,17.2609,16.732,0.2819,0.0154,0.0031,0.0015,0.0036,1.43743
WISEPC J021928.20-193842.7,34.86749999999999,-19.645194444444446,0.21999999999999886,DES J021928.30-193843.8,34.867952,-19.645502,1264959153,3.326,2.933,-53.482,2,0,0,0,0,0,0,23.5128,20.4786,17.9668,16.444,15.94,0.1208,0.0099,0.0018,9.0E-4,0.0016,1.889541
WISEPA J023547.53-084919.7,38.94804166666667,-8.822138888888889,0.26900000000000013,DES J023547.53-084919.6,38.948067,-8.822138,1297580757,2.747,2.721,2.867,0,0,0,0,0,0,0,24.7187,21.6833,19.3942,17.9021,17.4042,0.2957,0.0281,0.0058,0.0028,0.0053,0.091079
WISEPA J023618.01+004852.8,39.075041666666664,0.8146666666666668,0.44599999999999973,DES J023618.07+004851.9,39.075329,0.814444,1314021044,3.829,2.635,-72.657,0,0,0,0,0,0,0,23.2189,22.2566,20.5034,18.5939,18.0556,0.1175,0.0531,0.0187,0.0064,0.0111,1.309664
WISEPA J023942.48-173548.3,39.92699999999999,-17.59675,0.29800000000000004,DES J023942.52-173548.9,39.927177,-17.59692,1322610269,3.137,3.028,35.442,0,0,2,2,2,2,2,23.0998,20.4065,18.1432,16.5811,16.0727,0.0724,0.0079,0.0019,0.001,0.002,0.860476
WISEPA J025601.91+011046.3,44.007958333333335,1.179527777777778,0.3930000000000007,DES J025601.96+011045.2,44.00818,1.179247,1352749879,2.72,2.403,-20.667,2,0,0,0,0,0,0,23.6002,22.3124,20.0275,18.529,18.0902,0.0966,0.0407,0.0113,0.0047,0.0117,1.287736
WISEPA J030909.04-194939.0,47.28766666666666,-19.8275,0.30900000000000105,DES J030909.15-194939.2,47.28813,-19.827574,1370545113,2.716,2.579,-82.65,3,0,0,0,0,0,0,,22.5231,20.1519,18.4471,17.9018,99.0,0.0435,0.009,0.0043,0.0083,1.592246
