# Lambda[um]     Flux_nu[mJy]        
  0.27616        0.8292328022994487  
  0.2762199875   0.8084553025581506  
  0.27629        0.8141099183854303  
  0.2763499875   0.8516948209754085  
  0.276420025    0.8425967842320694  
  0.2764799875   0.8050924389531958  
  0.276550025    0.8079373828110591  
  0.2766099875   0.8101830188915202  
  0.276680025    0.8134267528719703  
  0.2767400125   0.839218855422056   
  0.2768000125   0.8212533626446993  
  0.2768700125   0.708261540671148   
  0.27693        0.782145729298382   
  0.2770000125   0.7700700356910649  
  0.27706        0.7756028501212592  
  0.2771300125   0.7830440735380482  
  0.277190025    0.8027328147265591  
  0.2772600125   0.7666440374264598  
  0.277320025    0.7328758180984484  
  0.2773799875   0.7486625140136157  
  0.277450025    0.7528943099079722  
  0.277510025    0.7600699052456976  
  0.2775799875   0.7802131620992042  
  0.2776400125   0.7701907818502401  
  0.2777099875   0.7989219464990338  
  0.2777700125   0.8195059784728322  
  0.2778399875   0.80903049702671    
  0.2779000125   0.7829386395545065  
  0.27796        0.8085978719353842  
  0.2780300125   0.8506908855891077  
  0.27809        0.8401499344888099  
  0.2781600125   0.8428669924927006  
  0.27822        0.8448659947764826  
  0.27829        0.8496496576460214  
  0.27835        0.8594178602698415  
  0.27842        0.8933473962868963  
  0.2784799875   0.894062982301258   
  0.27855        0.8679678917597122  
  0.2786099875   0.8820195969354904  
  0.27868        0.9106729658532422  
  0.2787399875   0.9073338563272031  
  0.2788099875   0.8947823626817224  
  0.2788699875   0.9077040427668617  
  0.278940025    0.8965977086653825  
  0.278999975    0.8981375028432488  
  0.279070025    0.9214987413818215  
  0.279129975    0.9419799662409186  
  0.279200025    0.9332076612337856  
  0.2792600125   0.9417915276923952  
  0.279330025    0.9638040150185949  
  0.2793900125   0.9603585060785859  
  0.2794600125   0.966711801661793   
  0.27952        0.9837653668178733  
  0.2795900125   0.9884354905786451  
  0.27965        0.9731776484714688  
  0.2797200125   0.9728871212680977  
  0.27978        0.9754585788922469  
  0.2798500125   0.9652754881547412  
  0.27991        0.9696676577595831  
  0.27998        0.9686496450505222  
  0.28004        0.9599593342742014  
  0.28011        0.967258010765627   
  0.2801699875   0.9618890276339641  
  0.28024        0.9601946298763134  
  0.2802999875   0.9606616736850092  
  0.280370025    0.9725433606799361  
  0.2804299875   0.9659229102904757  
  0.280500025    0.9370291940997653  
  0.2805599875   0.9354177784552257  
  0.280630025    0.9315153515000847  
  0.2806900125   0.9273048624307667  
  0.280760025    0.9214349107141876  
  0.2808200125   0.912203397601139   
  0.280890025    0.9005347788565976  
  0.2809599875   0.8917970946336685  
  0.281020025    0.8980946646744673  
  0.2810899875   0.9016001874641373  
  0.2811500125   0.885867667912319   
  0.2812199875   0.8738620465926156  
  0.2812800125   0.8739470942778064  
  0.2813499875   0.8828070962908411  
  0.2814100125   0.8786073167637183  
  0.2814800125   0.8645771429316832  
  0.2815400125   0.8513730183165279  
  0.2816100125   0.840934178322948   
  0.281680025    0.8522269976602234  
  0.2817400125   0.8499688558879324  
  0.281810025    0.8512372518560345  
  0.2818700125   0.8519594836240436  
  0.2819400125   0.8398296361052481  
  0.2820000125   0.8468509870931157  
  0.2820700125   0.8430057001482206  
  0.28213        0.8280811336057149  
  0.2822000125   0.8326134477857842  
  0.28226        0.8354640944187368  
  0.2823300125   0.8351992746070087  
  0.2824000125   0.8312243505622476  
  0.28246        0.8325832275681847  
  0.2825300125   0.8342004806990363  
  0.282590025    0.8282742645951584  
  0.2826600125   0.8249327751708538  
  0.282720025    0.8365787848818715  
  0.2827900125   0.844872752789482   
  0.2828600125   0.8349288193758025  
  0.28292        0.8309700606777515  
  0.2829900125   0.8307344282975831  
  0.28305        0.8198356841901046  
  0.2831200125   0.8103936398880289  
  0.2831900125   0.8217646590900135  
  0.28325        0.8288145913089393  
  0.2833200125   0.8202177476692208  
  0.283380025    0.8162667573183389  
  0.2834500125   0.8124549461122555  
  0.283510025    0.828510323560865   
  0.2835800125   0.8196323375996153  
  0.2836500125   0.8212939780783081  
  0.28371        0.8120241396224346  
  0.2837800125   0.8149698250229194  
  0.28384        0.8149140321248997  
  0.2839100125   0.8003474382045382  
  0.2839800125   0.8134703095006055  
  0.28404        0.8328928613132921  
  0.2841100125   0.8044704996903999  
  0.284180025    0.8091466181005768  
  0.2842400125   0.8042458462748721  
  0.2843100125   0.8085238930223156  
  0.2843700125   0.8098700847214595  
  0.2844400125   0.804006262365508   
  0.2845099875   0.8042583744185723  
  0.2845700125   0.8087524979670392  
  0.2846400125   0.8056048355401614  
  0.284710025    0.8016981202777682  
  0.2847700125   0.795866853133941   
  0.284840025    0.7996503749832817  
  0.2849000125   0.7925444028957614  
  0.284970025    0.7895097407327604  
  0.2850399875   0.7874383311668401  
  0.2851000125   0.786514436698624   
  0.2851699875   0.7953900427616079  
  0.285240025    0.7862759080271701  
  0.2852999875   0.7821270268903134  
  0.285370025    0.7910410256517335  
  0.2854300125   0.7872731527560828  
  0.285500025    0.7650338341829234  
  0.28557        0.7702736966077401  
  0.285630025    0.764528532387014   
  0.2856999875   0.7803365800309607  
  0.28577        0.774230928578602   
  0.2858299875   0.7660274417088263  
  0.285900025    0.7661342901602052  
  0.28597        0.7586910909788183  
  0.286030025    0.754063760483087   
  0.2861         0.76076153511431    
  0.286160025    0.7639955923386046  
  0.28623        0.7524132336802573  
  0.2863         0.7451268608138278  
  0.28636        0.7607836951104249  
  0.28643        0.7658894525131603  
  0.2865000125   0.7593710907785477  
  0.28656        0.7478731062492783  
  0.28663        0.7414633891156791  
  0.2867000125   0.7480859724328301  
  0.28676        0.7309677907936509  
  0.2868300125   0.7156085335877401  
  0.286899975    0.7216205158366625  
  0.2869600125   0.7401016607221972  
  0.287029975    0.7477979149352064  
  0.287100025    0.7455579591779642  
  0.2871699875   0.7533810889107765  
  0.2872300125   0.7521799587464841  
  0.2872999875   0.739072152655476   
  0.28737        0.7431563499536225  
  0.2874299875   0.7582587353099376  
  0.2874999875   0.7518044736654041  
  0.28757        0.7462611742117189  
  0.287630025    0.7405286279421744  
  0.2877         0.7420719919674392  
  0.28777        0.7381549263927776  
  0.28783        0.7304247249516775  
  0.2879         0.7318836250403824  
  0.2879700125   0.732151228884044   
  0.2880400125   0.7295686800359025  
  0.2881         0.7310441720568556  
  0.2881700125   0.7294091594964934  
  0.2882399875   0.7271822482759713  
  0.2883000125   0.7246444235537274  
  0.288369975    0.727129710899164   
  0.288440025    0.7260205211442848  
  0.2885099875   0.7235060463672885  
  0.288570025    0.7244870359420094  
  0.2886399875   0.7267466370858783  
  0.28871        0.7249533612908515  
  0.2887699875   0.7285561680350969  
  0.28884        0.7306201909356456  
  0.288910025    0.7269214248971801  
  0.2889800125   0.7243677940581529  
  0.289040025    0.7187283332434136  
  0.28911        0.725153227841424   
  0.2891800125   0.7215997254046439  
  0.28924        0.7084204550100552  
  0.2893100125   0.704476290027784   
  0.2893800125   0.7028027725096335  
  0.289450025    0.7022057997267562  
  0.2895100125   0.7052423253950031  
  0.289580025    0.7083599921229858  
  0.2896499875   0.7094918133632591  
  0.289710025    0.7120135849981453  
  0.2897799875   0.7118656496238783  
  0.289850025    0.7111058783285095  
  0.28992        0.7121956023117254  
  0.2899900125   0.7118900548070364  
  0.29005        0.7145221324813478  
  0.2901200125   0.7148446985038232  
  0.2901900125   0.7151746736435406  
  0.290260025    0.7116083960924855  
  0.2903200125   0.706530636172177   
  0.2903900125   0.7077771415666093  
  0.2904599875   0.7028384934354885  
  0.2905200125   0.6975696905496868  
  0.2905899875   0.7043597423683791  
  0.290660025    0.7134960146470615  
  0.29073        0.705398770028163   
  0.290790025    0.6999027542136043  
  0.29086        0.698347311082048   
  0.29093        0.6974437355565715  
  0.290999975    0.7019288559049957  
  0.2910700125   0.6964079409661297  
  0.2911300125   0.7063029293022707  
  0.2912000125   0.703579001026028   
  0.2912699875   0.6991502348723844  
  0.2913399875   0.6940764040294013  
  0.2913999875   0.6880081798450502  
  0.2914699875   0.699582747704358   
  0.29154        0.6859229848306856  
  0.29161        0.6985942367530429  
  0.2916800125   0.7030456343920806  
  0.29174        0.7016199181678717  
  0.2918100125   0.7002255896585248  
  0.2918800125   0.6956384031071233  
  0.291950025    0.7082293446889506  
  0.2920100125   0.6994297831111148  
  0.2920800125   0.7003861654358439  
  0.2921499875   0.7080785803790096  
  0.292220025    0.7069550438789253  
  0.29229        0.7016286519454692  
  0.2923600125   0.6962969164668507  
  0.29242        0.7093804520859236  
  0.2924900125   0.707867128663295   
  0.2925600125   0.7091632302395082  
  0.292630025    0.7137899320828675  
  0.2926900125   0.7086454452036395  
  0.2927600125   0.7080105063078643  
  0.2928299875   0.704885722336955   
  0.2929         0.713158158900823   
  0.29297        0.7159828736234282  
  0.2930400125   0.7150749648869587  
  0.2931         0.7174419757789672  
  0.2931700125   0.7061115944624617  
  0.293239975    0.7104715456332359  
  0.293310025    0.7103066815486644  
  0.2933799875   0.7134269077898764  
  0.2934400125   0.7149417579396943  
  0.2935099875   0.7150993700701165  
  0.29358        0.722502290595951   
  0.293650025    0.7134088115823092  
  0.2937200125   0.7169040514153221  
  0.2937900125   0.7182496144620939  
  0.2938599875   0.705399555843628   
  0.2939200125   0.7033564805381912  
  0.2939899875   0.7061313296565702  
  0.294060025    0.7103439292017086  
  0.29413        0.7120337467777919  
  0.2942         0.7088998697993582  
  0.29426        0.7109876243269518  
  0.29433        0.7094726619177818  
  0.2944000125   0.7118951513816241  
  0.2944700125   0.7107789566431706  
  0.2945399875   0.7129959890407032  
  0.294610025    0.7164013091326419  
  0.29468        0.7089255322872603  
  0.294740025    0.7130391415356706  
  0.29481        0.7219957539471679  
  0.29488        0.7145040362737808  
  0.294949975    0.7099473169105536  
  0.2950200125   0.7162565170202354  
  0.2950899875   0.7209096671669617  
  0.29516        0.7220482913239753  
  0.2952199875   0.7188527615093395  
  0.2952899875   0.7170650986819204  
  0.29536        0.7135796254125448  
  0.29543        0.7124768568926086  
  0.2955000125   0.7102721281200719  
  0.2955699875   0.7059557111260627  
  0.295640025    0.7121323104889818  
  0.29571        0.7147362335177732  
  0.29578        0.7137931876040798  
  0.29584        0.7111617161302701  
  0.29591        0.7165350100210557  
  0.2959800125   0.7090898350750708  
  0.2960500125   0.7073168557709132  
  0.2961199875   0.7117612484263764  
  0.296190025    0.7157890466260014  
  0.29626        0.7135563203710379  
  0.29633        0.7093179909823858  
  0.29639        0.7047080382343679  
  0.29646        0.7052906867239105  
  0.296529975    0.7010419621192492  
  0.2966000125   0.7016228369110278  
  0.2966699875   0.7121341739942275  
  0.29674        0.7229364648663366  
  0.29681        0.7129393205197365  
  0.2968800125   0.7147621654281205  
  0.2969500125   0.7078119644176472  
  0.2970199875   0.7062034675162635  
  0.297090025    0.7132509749331827  
  0.297150025    0.7122300210290955  
  0.297220025    0.7148005581265566  
  0.29729        0.7175851513567026  
  0.29736        0.7150973494017779  
  0.2974300125   0.710620289274838   
  0.2975000125   0.709226319995418   
  0.2975699875   0.7067697485922622  
  0.29764        0.7072124545734113  
  0.29771        0.7129895678057601  
  0.2977800125   0.7101606096796435  
  0.297849975    0.7053520476857971  
  0.29791        0.7059908483032863  
  0.297979975    0.7090813033643072  
  0.298050025    0.714492832790436   
  0.2981199875   0.7198854801935324  
  0.29819        0.7049979592372372  
  0.29826        0.7096405570048613  
  0.2983300125   0.7133787934315436  
  0.2984000125   0.6931549568150621  
  0.2984699875   0.7022263431882001  
  0.298540025    0.6864398942436076  
  0.29861        0.6916059573703193  
  0.2986800125   0.6895545075172118  
  0.298749975    0.6865344839737314  
  0.298820025    0.6842166875817066  
  0.2988899875   0.6855126993504382  
  0.29896        0.6797327571824151  
  0.2990300125   0.6862185188011627  
  0.29909        0.6947602655508447  
  0.29916        0.6908987234517577  
  0.2992399875   0.6864195977527384  
  0.2992999875   0.6890168301241415  
  0.2993699875   0.6911292592573385  
  0.29944        0.6884199471487461  
  0.29951        0.6830481799851499  
  0.2995800125   0.6845147586135423  
  0.2996500125   0.6799408186656948  
  0.299720025    0.6817576913765442  
  0.2997899875   0.6757975280445753  
  0.29986        0.6792817889129475  
  0.2999300125   0.682274174203928   
  0.3000000125   0.6791093809999115  
  0.3000699875   0.6851891678975344  
  0.300140025    0.6907066926039654  
  0.30021        0.6837486334388414  
  0.30028        0.682474691858743   
  0.300349975    0.6885345190435531  
  0.300420025    0.693862729578514   
  0.3004899875   0.6902184991333242  
  0.30056        0.692929876813996   
  0.300630025    0.6910624424909372  
  0.3007000125   0.6859503312088701  
  0.3007700125   0.6856354212742114  
  0.3008399875   0.6801700747146608  
  0.300910025    0.6762508088566971  
  0.30098        0.6805459639294087  
  0.3010500125   0.6805085815651418  
  0.301119975    0.683771040405531   
  0.301190025    0.6803444583922948  
  0.3012599875   0.6739900177636954  
  0.30133        0.6744000562733681  
  0.3014000125   0.6710443323632105  
  0.3014700125   0.6778102259693196  
  0.3015399875   0.6771482774734165  
  0.3016099875   0.6705827892627702  
  0.30168        0.6743437918860692  
  0.30175        0.6723855172952484  
  0.3018200125   0.673918553460115   
  0.301890025    0.6765934917550782  
  0.301960025    0.6772714933383392  
  0.30203        0.6819582539351     
  0.3021         0.6810186880613235  
  0.3021700125   0.675425635262764   
  0.3022400125   0.6718139824815689  
  0.3023099875   0.6712571760948919  
  0.30238        0.6778501453949451  
  0.30245        0.6768972655620032  
  0.3025200125   0.6776006377588507  
  0.302589975    0.6838880371023446  
  0.302660025    0.6835133827404705  
  0.3027400125   0.6767640586147389  
  0.3028100125   0.6807398807343172  
  0.302880025    0.6840106467667656  
  0.3029499875   0.6794874255942207  
  0.30302        0.6838850959073182  
  0.3030900125   0.6914667782255205  
  0.3031600125   0.6912151601136056  
  0.3032299875   0.6867595639747974  
  0.303300025    0.6902205198016629  
  0.30337        0.6912744779552831  
  0.30344        0.6862971003476696  
  0.303509975    0.6881428910676334  
  0.303580025    0.6904647287963358  
  0.3036499875   0.6893180893215783  
  0.30372        0.6878426197524955  
  0.30379        0.6859396665704155  
  0.3038600125   0.6805268124839315  
  0.3039300125   0.6808402854988825  
  0.30401        0.6735443481356495  
  0.3040800125   0.6863798579420765  
  0.3041499875   0.6976420753799547  
  0.304220025    0.6895999501029632  
  0.30429        0.6901803309535923  
  0.30436        0.6909830526770948  
  0.3044300125   0.6893100291000939  
  0.3045000125   0.6921374155952803  
  0.3045699875   0.6902817909560678  
  0.30464        0.6938284231204962  
  0.30471        0.6934879629572877  
  0.3047800125   0.6964617580995516  
  0.304860025    0.6952929137249384  
  0.30493        0.6964624541075349  
  0.3050000125   0.6958408740746659  
  0.305069975    0.6975729685227695  
  0.305140025    0.6916611889715784  
  0.3052099875   0.6970723142640393  
  0.30528        0.6973259081405521  
  0.3053500125   0.6998059642001783  
  0.3054200125   0.7100881350418937  
  0.3054899875   0.6973908389498372  
  0.3055599875   0.7043409501528288  
  0.3056400125   0.6983577961055389  
