# lambda(micron)      flux(mJy)
# The Calzetti 2000 extinction law is applied to the original SED,
# so that the rest-frame 4400A (B and) flux is 1/100 of the quasar flux.
   0.794328        0.0000000005
   0.794694        0.0000000005
   0.795060        0.0000000005
   0.795427        0.0000000006
   0.795793        0.0000000007
   0.796159        0.0000000005
   0.796526        0.0000000005
   0.796893        0.0000000006
   0.797260        0.0000000009
   0.797628        0.0000000013
   0.797995        0.0000000012
   0.798362        0.0000000009
   0.798730        0.0000000013
   0.799098        0.0000000012
   0.799466        0.0000000011
   0.799834        0.0000000008
   0.800203        0.0000000010
   0.800572        0.0000000011
   0.800940        0.0000000012
   0.801309        0.0000000010
   0.801678        0.0000000008
   0.802047        0.0000000011
   0.802417        0.0000000011
   0.802787        0.0000000012
   0.803156        0.0000000011
   0.803527        0.0000000009
   0.803896        0.0000000011
   0.804267        0.0000000007
   0.804637        0.0000000009
   0.805008        0.0000000010
   0.805379        0.0000000009
   0.805750        0.0000000010
   0.806121        0.0000000011
   0.806492        0.0000000012
   0.806863        0.0000000013
   0.807235        0.0000000011
   0.807607        0.0000000033
   0.807979        0.0000000027
   0.808351        0.0000000024
   0.808724        0.0000000024
   0.809096        0.0000000025
   0.809469        0.0000000036
   0.809842        0.0000000030
   0.810215        0.0000000027
   0.810588        0.0000000022
   0.810961        0.0000000023
   0.811335        0.0000000038
   0.811708        0.0000000026
   0.812082        0.0000000019
   0.812456        0.0000000027
   0.812831        0.0000000029
   0.813205        0.0000000030
   0.813580        0.0000000025
   0.813955        0.0000000025
   0.814329        0.0000000024
   0.814704        0.0000000026
   0.815080        0.0000000028
   0.815455        0.0000000028
   0.815831        0.0000000027
   0.816207        0.0000000024
   0.816583        0.0000000036
   0.816959        0.0000000031
   0.817335        0.0000000031
   0.817711        0.0000000017
   0.818088        0.0000000026
   0.818465        0.0000000029
   0.818842        0.0000000033
   0.819219        0.0000000022
   0.819597        0.0000000026
   0.819974        0.0000000022
   0.820352        0.0000000015
   0.820730        0.0000000027
   0.821108        0.0000000020
   0.821486        0.0000000022
   0.821864        0.0000000018
   0.822243        0.0000000017
   0.822621        0.0000000027
   0.823000        0.0000000025
   0.823379        0.0000000016
   0.823759        0.0000000022
   0.824138        0.0000000013
   0.824518        0.0000000021
   0.824898        0.0000000029
   0.825277        0.0000000023
   0.825658        0.0000000017
   0.826038        0.0000000024
   0.826419        0.0000000020
   0.826799        0.0000000089
   0.827180        0.0000000090
   0.827561        0.0000000118
   0.827942        0.0000000124
   0.828324        0.0000000128
   0.828705        0.0000000109
   0.829087        0.0000000096
   0.829469        0.0000000116
   0.829851        0.0000000122
   0.830233        0.0000000133
   0.830615        0.0000000118
   0.830998        0.0000000107
   0.831381        0.0000000086
   0.831764        0.0000000113
   0.832147        0.0000000107
   0.832530        0.0000000132
   0.832914        0.0000000128
   0.833298        0.0000000122
   0.833681        0.0000000109
   0.834065        0.0000000108
   0.834449        0.0000000109
   0.834834        0.0000000099
   0.835219        0.0000000094
   0.835603        0.0000000098
   0.835988        0.0000000111
   0.836373        0.0000000128
   0.836758        0.0000000112
   0.837144        0.0000000086
   0.837529        0.0000000086
   0.837915        0.0000000096
   0.838301        0.0000000131
   0.838688        0.0000000076
   0.839073        0.0000000130
   0.839460        0.0000000109
   0.839847        0.0000000078
   0.840234        0.0000000097
   0.840621        0.0000000092
   0.841008        0.0000000088
   0.841395        0.0000000095
   0.841783        0.0000000106
   0.842170        0.0000000079
   0.842559        0.0000000095
   0.842947        0.0000000082
   0.843335        0.0000000070
   0.843724        0.0000000077
   0.844112        0.0000000102
   0.844501        0.0000000064
   0.844890        0.0000000083
   0.845279        0.0000000070
   0.845668        0.0000000086
   0.846058        0.0000000075
   0.846448        0.0000000097
   0.846838        0.0000000080
   0.847228        0.0000000063
   0.847618        0.0000000075
   0.848008        0.0000000085
   0.848399        0.0000000071
   0.848790        0.0000000084
   0.849181        0.0000000066
   0.849572        0.0000000109
   0.849963        0.0000000078
   0.850354        0.0000000073
   0.850746        0.0000000046
   0.851138        0.0000000086
   0.851530        0.0000000072
   0.851923        0.0000000069
   0.852315        0.0000000071
   0.852708        0.0000000079
   0.853100        0.0000000066
   0.853493        0.0000000059
   0.853886        0.0000000073
   0.854280        0.0000000055
   0.854673        0.0000000054
   0.855067        0.0000000068
   0.855461        0.0000000059
   0.855855        0.0000000064
   0.856249        0.0000000059
   0.856643        0.0000000057
   0.857038        0.0000000070
   0.857433        0.0000000035
   0.857828        0.0000000072
   0.858223        0.0000000068
   0.858618        0.0000000057
   0.859014        0.0000000110
   0.859409        0.0000000056
   0.859805        0.0000000068
   0.860201        0.0000000052
   0.860598        0.0000000067
   0.860994        0.0000000073
   0.861391        0.0000000049
   0.861787        0.0000000049
   0.862184        0.0000000068
   0.862581        0.0000000044
   0.862979        0.0000000044
   0.863376        0.0000000054
   0.863774        0.0000000035
   0.864172        0.0000000061
   0.864570        0.0000000044
   0.864968        0.0000000054
   0.865366        0.0000000044
   0.865765        0.0000000036
   0.866164        0.0000000057
   0.866563        0.0000000033
   0.866962        0.0000000047
   0.867361        0.0000000055
   0.867761        0.0000000053
   0.868161        0.0000000045
   0.868561        0.0000000050
   0.868961        0.0000000044
   0.869361        0.0000000049
   0.869762        0.0000000037
   0.870162        0.0000000056
   0.870563        0.0000000043
   0.870964        0.0000000030
   0.871365        0.0000000047
   0.871766        0.0000000040
   0.872168        0.0000001091
   0.872570        0.0000001049
   0.872971        0.0000001133
   0.873374        0.0000001263
   0.873776        0.0000001131
   0.874178        0.0000000934
   0.874581        0.0000001239
   0.874984        0.0000001225
   0.875387        0.0000001104
   0.875790        0.0000001250
   0.876193        0.0000001028
   0.876597        0.0000001076
   0.877001        0.0000001162
   0.877405        0.0000000921
   0.877809        0.0000001330
   0.878214        0.0000000936
   0.878618        0.0000001165
   0.879023        0.0000001195
   0.879427        0.0000001163
   0.879833        0.0000001182
   0.880238        0.0000001095
   0.880644        0.0000000949
   0.881049        0.0000000952
   0.881455        0.0000001077
   0.881861        0.0000001118
   0.882267        0.0000001169
   0.882673        0.0000001283
   0.883080        0.0000001197
   0.883487        0.0000001007
   0.883894        0.0000000755
   0.884301        0.0000000898
   0.884708        0.0000001048
   0.885116        0.0000001028
   0.885523        0.0000001014
   0.885931        0.0000001061
   0.886340        0.0000000916
   0.886748        0.0000001005
   0.887156        0.0000000921
   0.887565        0.0000000992
   0.887973        0.0000000814
   0.888383        0.0000001077
   0.888792        0.0000000917
   0.889201        0.0000001137
   0.889611        0.0000000896
   0.890021        0.0000001028
   0.890430        0.0000000847
   0.890841        0.0000000916
   0.891251        0.0000000807
   0.891662        0.0000000872
   0.892072        0.0000000835
   0.892483        0.0000000896
   0.892895        0.0000000931
   0.893306        0.0000000859
   0.893717        0.0000000949
   0.894129        0.0000000936
   0.894541        0.0000000856
   0.894953        0.0000000701
   0.895365        0.0000000856
   0.895778        0.0000000966
   0.896190        0.0000000813
   0.896603        0.0000000811
   0.897016        0.0000000875
   0.897429        0.0000000890
   0.897842        0.0000000775
   0.898256        0.0000000779
   0.898670        0.0000000715
   0.899084        0.0000000872
   0.899498        0.0000000726
   0.899912        0.0000000707
   0.900327        0.0000000850
   0.900741        0.0000000854
   0.901156        0.0000000951
   0.901571        0.0000000766
   0.901987        0.0000000710
   0.902402        0.0000000862
   0.902818        0.0000000825
   0.903233        0.0000000658
   0.903650        0.0000000783
   0.904066        0.0000000761
   0.904482        0.0000000765
   0.904899        0.0000000589
   0.905316        0.0000000847
   0.905733        0.0000000799
   0.906150        0.0000000574
   0.906567        0.0000000696
   0.906985        0.0000000637
   0.907403        0.0000000605
   0.907821        0.0000000759
   0.908239        0.0000000553
   0.908657        0.0000000810
