# lambda(micron)  flux(mJy)
   0.794328        0.00000
   0.794694        0.00000
   0.795060        0.00000
   0.795427        0.00000
   0.795793        0.00000
   0.796159        0.00000
   0.796526        0.00000
   0.796893        0.00000
   0.797260        0.00000
   0.797628        0.00000
   0.797995        0.00000
   0.798362        0.00000
   0.798730        0.00000
   0.799098        0.00000
   0.799466        0.00000
   0.799834        0.00000
   0.800203        0.00000
   0.800572        0.00000
   0.800940        0.00000
   0.801309        0.00000
   0.801678        0.00000
   0.802047        0.00000
   0.802417        0.00000
   0.802787        0.00000
   0.803156        0.00000
   0.803527        0.00000
   0.803896        0.00000
   0.804267        0.00000
   0.804637        0.00000
   0.805008        0.00000
   0.805379        0.00000
   0.805750        0.00000
   0.806121        0.00000
   0.806492        0.00000
   0.806863        0.00000
   0.807235        0.00000
   0.807607        0.00000
   0.807979        0.00000
   0.808351        0.00000
   0.808724        0.00000
   0.809096        0.00000
   0.809469        0.00001
   0.809842        0.00000
   0.810215        0.00000
   0.810588        0.00000
   0.810961        0.00000
   0.811335        0.00001
   0.811708        0.00000
   0.812082        0.00000
   0.812456        0.00000
   0.812831        0.00000
   0.813205        0.00000
   0.813580        0.00000
   0.813955        0.00000
   0.814329        0.00000
   0.814704        0.00000
   0.815080        0.00000
   0.815455        0.00000
   0.815831        0.00000
   0.816207        0.00000
   0.816583        0.00000
   0.816959        0.00000
   0.817335        0.00000
   0.817711        0.00000
   0.818088        0.00000
   0.818465        0.00000
   0.818842        0.00000
   0.819219        0.00000
   0.819597        0.00000
   0.819974        0.00000
   0.820352        0.00000
   0.820730        0.00000
   0.821108        0.00000
   0.821486        0.00000
   0.821864        0.00000
   0.822243        0.00000
   0.822621        0.00000
   0.823000        0.00000
   0.823379        0.00000
   0.823759        0.00000
   0.824138        0.00000
   0.824518        0.00000
   0.824898        0.00000
   0.825277        0.00000
   0.825658        0.00000
   0.826038        0.00000
   0.826419        0.00000
   0.826799        0.00001
   0.827180        0.00001
   0.827561        0.00001
   0.827942        0.00001
   0.828324        0.00001
   0.828705        0.00001
   0.829087        0.00001
   0.829469        0.00001
   0.829851        0.00001
   0.830233        0.00001
   0.830615        0.00001
   0.830998        0.00001
   0.831381        0.00001
   0.831764        0.00001
   0.832147        0.00001
   0.832530        0.00001
   0.832914        0.00001
   0.833298        0.00001
   0.833681        0.00001
   0.834065        0.00001
   0.834449        0.00001
   0.834834        0.00001
   0.835219        0.00001
   0.835603        0.00001
   0.835988        0.00001
   0.836373        0.00001
   0.836758        0.00001
   0.837144        0.00001
   0.837529        0.00001
   0.837915        0.00001
   0.838301        0.00001
   0.838688        0.00001
   0.839073        0.00001
   0.839460        0.00001
   0.839847        0.00001
   0.840234        0.00001
   0.840621        0.00001
   0.841008        0.00001
   0.841395        0.00001
   0.841783        0.00001
   0.842170        0.00001
   0.842559        0.00001
   0.842947        0.00001
   0.843335        0.00001
   0.843724        0.00001
   0.844112        0.00001
   0.844501        0.00001
   0.844890        0.00001
   0.845279        0.00001
   0.845668        0.00001
   0.846058        0.00001
   0.846448        0.00001
   0.846838        0.00001
   0.847228        0.00001
   0.847618        0.00001
   0.848008        0.00001
   0.848399        0.00001
   0.848790        0.00001
   0.849181        0.00001
   0.849572        0.00001
   0.849963        0.00001
   0.850354        0.00001
   0.850746        0.00000
   0.851138        0.00001
   0.851530        0.00001
   0.851923        0.00001
   0.852315        0.00001
   0.852708        0.00001
   0.853100        0.00001
   0.853493        0.00001
   0.853886        0.00001
   0.854280        0.00001
   0.854673        0.00001
   0.855067        0.00001
   0.855461        0.00001
   0.855855        0.00001
   0.856249        0.00001
   0.856643        0.00001
   0.857038        0.00001
   0.857433        0.00000
   0.857828        0.00001
   0.858223        0.00001
   0.858618        0.00001
   0.859014        0.00001
   0.859409        0.00001
   0.859805        0.00001
   0.860201        0.00000
   0.860598        0.00001
   0.860994        0.00001
   0.861391        0.00000
   0.861787        0.00000
   0.862184        0.00001
   0.862581        0.00000
   0.862979        0.00000
   0.863376        0.00000
   0.863774        0.00000
   0.864172        0.00001
   0.864570        0.00000
   0.864968        0.00000
   0.865366        0.00000
   0.865765        0.00000
   0.866164        0.00001
   0.866563        0.00000
   0.866962        0.00000
   0.867361        0.00000
   0.867761        0.00000
   0.868161        0.00000
   0.868561        0.00000
   0.868961        0.00000
   0.869361        0.00000
   0.869762        0.00000
   0.870162        0.00000
   0.870563        0.00000
   0.870964        0.00000
   0.871365        0.00000
   0.871766        0.00000
   0.872168        0.00009
   0.872570        0.00009
   0.872971        0.00010
   0.873374        0.00011
   0.873776        0.00010
   0.874178        0.00008
   0.874581        0.00011
   0.874984        0.00010
   0.875387        0.00009
   0.875790        0.00011
   0.876193        0.00009
   0.876597        0.00009
   0.877001        0.00010
   0.877405        0.00008
   0.877809        0.00011
   0.878214        0.00008
   0.878618        0.00010
   0.879023        0.00010
   0.879427        0.00010
   0.879833        0.00010
   0.880238        0.00009
   0.880644        0.00008
   0.881049        0.00008
   0.881455        0.00009
   0.881861        0.00009
   0.882267        0.00010
   0.882673        0.00011
   0.883080        0.00010
   0.883487        0.00008
   0.883894        0.00006
   0.884301        0.00007
   0.884708        0.00009
   0.885116        0.00008
   0.885523        0.00008
   0.885931        0.00009
   0.886340        0.00008
   0.886748        0.00008
   0.887156        0.00008
   0.887565        0.00008
   0.887973        0.00007
   0.888383        0.00009
   0.888792        0.00007
   0.889201        0.00009
   0.889611        0.00007
   0.890021        0.00008
   0.890430        0.00007
   0.890841        0.00007
   0.891251        0.00007
   0.891662        0.00007
   0.892072        0.00007
   0.892483        0.00007
   0.892895        0.00007
   0.893306        0.00007
   0.893717        0.00008
   0.894129        0.00007
   0.894541        0.00007
   0.894953        0.00006
   0.895365        0.00007
   0.895778        0.00008
   0.896190        0.00006
   0.896603        0.00006
   0.897016        0.00007
   0.897429        0.00007
   0.897842        0.00006
   0.898256        0.00006
   0.898670        0.00006
   0.899084        0.00007
   0.899498        0.00006
   0.899912        0.00006
   0.900327        0.00007
   0.900741        0.00007
   0.901156        0.00007
   0.901571        0.00006
   0.901987        0.00006
   0.902402        0.00007
   0.902818        0.00006
   0.903233        0.00005
   0.903650        0.00006
   0.904066        0.00006
   0.904482        0.00006
   0.904899        0.00005
   0.905316        0.00007
   0.905733        0.00006
   0.906150        0.00004
   0.906567        0.00005
   0.906985        0.00005
   0.907403        0.00005
   0.907821        0.00006
   0.908239        0.00004
   0.908657        0.00006
   0.909076        0.00005
   0.909495        0.00005
   0.909913        0.00006
   0.910333        0.00005
   0.910752        0.00005
   0.911172        0.00006
   0.911591        0.00005
   0.912011        0.00004
   0.912431        0.00005
   0.912851        0.00006
   0.913272        0.00005
   0.913693        0.00004
   0.914114        0.00004
   0.914534        0.00004
   0.914956        0.00004
   0.915377        0.00005
   0.915799        0.00005
   0.916221        0.00005
   0.916643        0.00004
   0.917065        0.00005
   0.917487        0.00005
   0.917910        0.00004
   0.918333        0.00005
   0.918756        0.00005
   0.919179        0.00004
   0.919603        0.00004
   0.920026        0.00004
   0.920449        0.00004
   0.920874        0.00004
   0.921298        0.00004
   0.921722        0.00004
   0.922147        0.00004
   0.922572        0.00004
   0.922997        0.00004
   0.923421        0.00003
   0.923847        0.00003
   0.924273        0.00004
   0.924698        0.00004
   0.925124        0.00004
   0.925551        0.00004
   0.925977        0.00004
   0.926403        0.00004
   0.926830        0.00004
   0.927257        0.00003
   0.927684        0.00004
   0.928111        0.00004
   0.928539        0.00003
   0.928967        0.00003
   0.929395        0.00003
   0.929822        0.00004
   0.930251        0.00003
   0.930679        0.00003
   0.931108        0.00003
   0.931537        0.00003
   0.931966        0.00004
   0.932396        0.00003
   0.932825        0.00003
   0.933254        0.00003
   0.933684        0.00003
   0.934114        0.00003
   0.934545        0.00003
   0.934975        0.00003
   0.935406        0.00003
   0.935836        0.00003
   0.936268        0.00003
   0.936699        0.00003
   0.937131        0.00003
   0.937562        0.00002
   0.937994        0.00002
   0.938426        0.00003
   0.938858        0.00002
   0.939291        0.00002
   0.939723        0.00002
   0.940156        0.00002
   0.940589        0.00002
   0.941023        0.00002
   0.941456        0.00003
   0.941890        0.00002
   0.942323        0.00002
   0.942758        0.00002
   0.943192        0.00003
   0.943626        0.00003
   0.944061        0.00002
   0.944496        0.00002
