# Lambda[um] Flux_nu[mJy]
0.10001000000000002 0.47455312976015573
0.10005000000000001 0.4815706973413922
0.10009000000000001 0.48669095328488876
0.10013000000000001 0.490273858564881
0.10017000000000002 0.4926771887236738
0.10021000000000002 0.49425987133255367
0.10025000000000002 0.49537863480458216
0.10029000000000002 0.4964047712474141
0.10033000000000002 0.4976973296010669
0.10037000000000003 0.49962322548784743
0.10041000000000003 0.5025471799958356
0.10045000000000001 0.5068384389009547
0.10049000000000001 0.5128674188147189
0.10053000000000001 0.5209989661628178
0.10057000000000002 0.5316024528435936
0.10061000000000002 0.5449775086738506
0.10065000000000002 0.5603062055658853
0.10069000000000002 0.5758312313844801
0.10073000000000001 0.5897761389165099
0.10077000000000003 0.6003656097847866
0.10081000000000002 0.6058220858429336
0.10085000000000002 0.6043114956405943
0.10089000000000002 0.5954301794266619
0.10093000000000002 0.5817940338072815
0.10097000000000002 0.5664557764140953
0.10101000000000002 0.5524676183925215
0.10105000000000001 0.5418287619146843
0.10109000000000001 0.5344244885299951
0.10113000000000001 0.5299111302885745
0.10117000000000002 0.5279541557343982
0.10121000000000002 0.5282111250507177
0.10125000000000002 0.5303487597451502
0.10129000000000002 0.5340121817968149
0.10133000000000002 0.5388556561268796
0.10137000000000003 0.544535774718689
0.10141000000000001 0.5507080386878512
0.10145000000000001 0.5570234241283016
0.10149000000000001 0.5631318032791206
0.10153000000000001 0.5687163283598349
0.10157000000000002 0.5737654209555201
0.10161000000000002 0.578436220875143
0.10165000000000002 0.582896705801218
0.10169000000000002 0.5873119351237316
0.10173000000000001 0.591847488944902
0.10177000000000003 0.5966660138238703
0.10181000000000003 0.6019341246755449
0.10185000000000002 0.6078224188590161
0.10189000000000002 0.6144985644425719
0.10193000000000002 0.6220267835929347
0.10197000000000002 0.6302217738964603
0.10201000000000002 0.6388455804064292
0.10205000000000002 0.6476629717299295
0.10209000000000001 0.6564379763823146
0.10213000000000001 0.6649304028087659
0.10217000000000002 0.6729097529429846
0.10221000000000002 0.6803608599960845
0.10225000000000002 0.687484733438491
0.10229000000000002 0.6944899952214608
0.10233000000000002 0.7015964005904379
0.10237000000000002 0.7090104103263333
0.10241000000000001 0.7169496252657229
0.10245000000000001 0.7256288235726732
0.10249000000000003 0.7352669553764093
0.10253000000000001 0.7460731308619177
0.10257000000000002 0.758267635659667
0.10261 0.7720644123713745
0.10265000000000002 0.7876921224791121
0.10269000000000003 0.805221843686208
0.10273000000000002 0.8233238046161254
0.10277000000000003 0.8398714067521006
0.10281000000000001 0.8526996939279239
0.10285000000000002 0.8596158078449727
0.10289000000000002 0.8586107727936241
0.10293000000000001 0.8503446136186656
0.10297000000000002 0.8378632001788386
0.10301 0.8243174749477187
0.10305000000000002 0.8128859046255593
0.10309000000000003 0.8067461986843916
0.10313000000000001 0.8084047586065025
0.10317000000000003 0.8167329508707989
0.10321000000000001 0.8293016707963348
0.10325000000000002 0.8436742447795335
0.10329000000000003 0.857381511793836
0.10333000000000002 0.868025002867984
0.10337000000000002 0.8743821549733586
0.10341000000000002 0.8765036260093308
0.10345000000000001 0.8744795213027007
0.10349000000000003 0.8684431181817459
0.10353000000000001 0.858506676718932
0.10357000000000002 0.8447864036592276
0.10361000000000001 0.827391724140772
0.10365000000000002 0.8064252544146725
0.10369000000000003 0.7821656785406859
0.10373000000000002 0.7557790726401462
0.10377000000000003 0.7287583983453648
0.10381000000000001 0.7025976386776214
0.10385000000000003 0.6788133732220174
0.10389000000000002 0.6588800482383051
0.10393000000000001 0.6433650871125317
0.10397000000000002 0.6318712994827911
0.10401 0.6239389037100793
0.10405000000000002 0.6213456872687573
0.10409000000000003 0.6189539310766119
0.10413000000000001 0.6180878762126498
0.10417000000000003 0.6189247894287923
0.10421000000000001 0.6208129411921697
0.10425000000000002 0.6233124777900518
0.10429000000000002 0.6258987460358326
0.10433000000000002 0.628847877647409
0.10437000000000002 0.630968898417685
0.10441000000000002 0.6329144364763506
0.10445000000000002 0.6338325299130775
0.10449000000000003 0.6344856134779084
0.10453000000000001 0.6345924352715371
0.10457000000000002 0.6345164884715012
0.10461000000000001 0.6334506431024024
0.10465000000000002 0.6328611620785004
0.10469000000000003 0.6316999095804806
0.10473000000000002 0.6295960527878256
0.10477000000000003 0.6284733581501241
0.10481000000000001 0.6263883648969581
0.10485000000000001 0.6249890428414313
0.10489000000000002 0.6226365483224734
0.10493000000000001 0.6200705782236525
0.10497000000000002 0.6184447402734862
0.10501 0.6158301134588582
0.10505000000000002 0.6146649769796745
0.10509000000000003 0.6128233846587964
0.10513000000000002 0.6113434322151626
0.10517000000000003 0.60998244651168
0.10521000000000001 0.6088810099748073
0.10525000000000002 0.6080766699107555
0.10529000000000002 0.6076773462850424
0.10533000000000002 0.6075174340278767
0.10537000000000002 0.6083085540793693
0.10541 0.609000279314365
0.10545000000000002 0.6090100481713919
0.10549000000000003 0.6097468474896058
0.10553000000000001 0.6108928627567409
0.10557000000000002 0.6117017900832916
0.10561000000000001 0.6130136707405427
0.10565000000000002 0.6147179501226813
0.10569000000000003 0.6152580339884335
0.10573000000000002 0.6172228304040256
0.10577000000000003 0.6178839841915571
0.10581000000000002 0.6196659589324959
0.10585000000000001 0.6214986838119525
0.10589000000000003 0.6215196746935844
0.10593000000000001 0.6224796521930517
0.10597000000000002 0.6229086435074697
0.10601000000000001 0.623652635316396
0.10605000000000002 0.6235268783587946
0.10609000000000003 0.6239785600518345
0.10613000000000002 0.6237315656218743
0.10617000000000003 0.6233896675990763
0.10621000000000001 0.6227795644515512
0.10625000000000002 0.6219044173094241
0.10629000000000002 0.621728355936893
0.10633000000000002 0.6208575816808242
0.10637000000000002 0.619192399886124
0.10641 0.6180831781046673
0.10645000000000002 0.6163102950483498
0.10649000000000003 0.6149503149866101
0.10653000000000001 0.6130653701754899
0.10657000000000003 0.6112869351316371
0.10661000000000001 0.6093309163195492
0.10665000000000002 0.6073562685306112
0.10669000000000003 0.6053363774158056
0.10673000000000002 0.6031609548897323
0.10677000000000002 0.6015179230934156
0.10681000000000002 0.5996131514838843
0.10685000000000001 0.5976631284383412
0.10689000000000003 0.5965252614981398
0.10693000000000001 0.5954576540789762
0.10697000000000002 0.5943154278277742
0.10701000000000001 0.5934498301410238
0.10705000000000002 0.5927353411797639
0.10709000000000003 0.5922755885735793
0.10713000000000002 0.5910107176408355
0.10717000000000003 0.5913487007570418
0.10721000000000001 0.5917288679843307
0.10725000000000003 0.5918942452598325
0.10729000000000002 0.5915563738025392
0.10733000000000001 0.5922511551735236
0.10737000000000002 0.5920466478982939
0.10741 0.5916104443619125
0.10745000000000002 0.591500446944199
0.10749000000000003 0.591651867656891
0.10753000000000001 0.5909390759571409
0.10757000000000003 0.5913286266176516
0.10761000000000001 0.5911195565245005
0.10765000000000002 0.590565654091605
0.10769000000000004 0.5903972770115853
0.10773000000000002 0.5899378158065937
0.10777000000000002 0.5898219816235005
0.10781000000000002 0.5906049547428908
0.10785000000000002 0.5894370170654861
0.10789000000000003 0.588682314979852
0.10793000000000001 0.588151374671507
0.10797000000000002 0.5881557788250298
0.10801000000000001 0.5880196139659724
0.10805000000000002 0.5871428469774914
0.10809000000000003 0.587573749633455
0.10813000000000002 0.5876655019082903
0.10817000000000003 0.5872222030676971
0.10821000000000001 0.5872620896471985
0.10825000000000003 0.5873875453698038
0.10829000000000003 0.5877356670931997
0.10833000000000001 0.5878254647611582
0.10837000000000002 0.5879266661234355
0.10841 0.5875335797630373
0.10845000000000002 0.5871865107352036
0.10849000000000003 0.5881144243927913
0.10853000000000002 0.587628797681995
0.10857000000000003 0.5866151048588087
0.10861000000000001 0.5856387866060659
0.10865000000000002 0.5846251130757266
0.10869000000000002 0.5828252975111203
0.10873000000000002 0.5805846318616528
0.10877000000000002 0.5775627603192407
0.10881 0.5739040880194191
0.10885000000000002 0.5712038968647103
0.10889000000000003 0.5665573262222628
0.10893000000000001 0.5635697762687545
0.10897000000000003 0.5620310266129178
0.10901000000000001 0.5573026642650896
0.10905000000000002 0.5553594712220881
0.10909000000000003 0.5492964780780111
0.10913000000000002 0.5457069761751645
0.10917000000000003 0.5479556738987411
0.10921000000000002 0.5469012106378274
0.10925000000000001 0.5448136106045737
0.10929000000000003 0.5409973577529427
0.10933000000000001 0.5423942029953602
0.10937000000000002 0.5422285678455595
0.10941000000000001 0.5394309039347481
0.10945000000000002 0.5446284349638308
0.10949000000000003 0.5454864519711501
0.10953000000000002 0.5468254916350164
0.10957000000000003 0.5451465583073808
0.10961000000000001 0.5497726291988306
0.10965000000000003 0.5515415340476978
0.10969000000000002 0.5526583956485992
0.10973000000000002 0.5512702525142577
0.10977000000000002 0.5508764216547103
0.10981 0.5564826914836197
0.10985000000000002 0.5585908083318093
0.10989000000000003 0.5599402504051655
0.10993000000000001 0.5562121654580118
0.10997000000000003 0.5571817640294341
0.11001000000000001 0.5570300847923932
0.11005000000000002 0.5577059007043134
0.11009000000000004 0.5582811891717104
0.11013000000000002 0.5577483579272365
0.11017000000000002 0.5596272820713523
0.11021000000000002 0.5587736971340352
0.11025000000000001 0.5602416542863797
0.11029000000000003 0.553588315699323
0.11033000000000001 0.5608682209659858
0.11037000000000002 0.5611368258024024
0.11041000000000001 0.562641523577221
0.11045000000000002 0.5643839745761717
0.11049000000000003 0.5684496404907561
0.11053000000000002 0.5673861086488039
0.11057000000000003 0.5732614529758451
0.11061000000000001 0.5756229398315618
0.11065000000000003 0.5767458674010405
0.11069000000000002 0.580992373764086
0.11073000000000001 0.5835922582704866
0.11077000000000002 0.5870385677413874
0.11081 0.5872455370127423
0.11085000000000002 0.5904608232764482
0.11089000000000003 0.5939469027738185
0.11093000000000001 0.5994036845806842
0.11097000000000003 0.6051923768411146
0.11101000000000001 0.6089788738430837
0.11105000000000002 0.6088090121675109
0.11109000000000004 0.6122897761470707
0.11113000000000002 0.6148111230805213
0.11117000000000002 0.6147178740979202
0.11121000000000002 0.6156429889144175
0.11125000000000002 0.6177331597306228
0.11129000000000003 0.6178965206617374
0.11133000000000001 0.6197671100389057
0.11137000000000002 0.6176639757077547
0.11141000000000001 0.6211466907184836
0.11145000000000002 0.6208014389366326
0.11149000000000003 0.6219934543188209
0.11153000000000002 0.6229087055402841
0.11157000000000003 0.6214995795847873
0.11161000000000001 0.6223525022587126
0.11165000000000003 0.6224161262447437
0.11169000000000003 0.6239315847826966
0.11173000000000001 0.6236706738648509
0.11177000000000002 0.6221004521204467
0.11181 0.6234882335057275
0.11185000000000002 0.6217519253077742
0.11189000000000003 0.6201421105203723
0.11193000000000002 0.6223950906251952
0.11197000000000003 0.6242409816267295
0.11201000000000001 0.621477191174102
0.11205000000000002 0.6240276893531792
0.11209000000000002 0.6187568409249644
0.11213000000000002 0.617856470973963
0.11217000000000002 0.6168829952878936
0.11221000000000002 0.6173986354480605
0.11225000000000002 0.6167082998507255
0.11229000000000003 0.6175979369180796
0.11233000000000001 0.6177139304320658
0.11237000000000003 0.617981248081231
0.11241000000000001 0.6171905318855619
0.11245000000000002 0.6162210675893656
0.11249000000000003 0.6178751670391924
0.11253000000000002 0.6195733910069879
0.11257000000000003 0.6158461884689576
0.11261000000000002 0.621524812646721
0.11265000000000001 0.6211071465547009
0.11269000000000003 0.6237721827470725
0.11273000000000001 0.6260378333608047
0.11277000000000002 0.6267748815123296
0.11281000000000001 0.6284463957810773
0.11285000000000002 0.6267214243645182
0.11289000000000003 0.6337335714148955
0.11293000000000002 0.6334638223150364
0.11297000000000003 0.6354707185690444
0.11301000000000001 0.6316181743259865
0.11305000000000003 0.6399307045200917
0.11309000000000002 0.640166063112235
0.11313000000000002 0.6430224926701458
0.11317000000000002 0.6439685791856047
0.11321 0.6458902498247971
0.11325000000000002 0.646706114038566
0.11329000000000003 0.6481348545957084
0.11333000000000001 0.64549086127617
0.11337000000000003 0.6482402574486049
0.11341000000000001 0.6492683739701016
0.11345000000000002 0.6513578949641223
0.11349000000000004 0.6511427662319312
0.11353000000000002 0.6518426051777126
0.11357000000000003 0.6504950228452713
0.11361000000000002 0.651513020228314
0.11365000000000001 0.6489430523282211
0.11369000000000003 0.6514564977127945
0.11373000000000001 0.6502884249722519
0.11377000000000002 0.6497140431834012
0.11381000000000001 0.6466281248724076
0.11385000000000002 0.6489937670021373
0.11389000000000003 0.648558594111764
0.11393000000000002 0.6474425698082106
0.11397000000000003 0.6477326311618554
0.11401000000000001 0.6474806510087388
0.11405000000000003 0.6468980894576074
0.11409000000000002 0.6446339377246777
0.11413000000000002 0.6447601679410828
0.11417000000000002 0.6465513598066235
0.11421 0.6487187718170349
0.11425000000000002 0.6468264317960261
0.11429000000000003 0.6451226753870841
0.11433000000000001 0.6478415923354217
0.11437000000000003 0.6486178607145949
0.11441000000000001 0.649049806770389
0.11445000000000002 0.6515922481362091
0.11449000000000004 0.6509197226059639
0.11453000000000002 0.6524378551923078
0.11457000000000002 0.6612171145607673
0.11461000000000002 0.6551767301021295
0.11465000000000002 0.6574274267675206
0.11469000000000003 0.6586058157575467
0.11473000000000001 0.6590565134259315
0.11477000000000002 0.6589405643816432
0.11481000000000001 0.6625524767447286
0.11485000000000002 0.6669961216519329
0.11489000000000003 0.6653826134532711
0.11493000000000002 0.6664540424075646
0.11497000000000003 0.6718958814000918
0.11501000000000001 0.6747637014248371
0.11505000000000003 0.6811318796327092
0.11509000000000003 0.6848353588334769
0.11513000000000001 0.6871419210608026
0.11517000000000002 0.6804784344574808
0.11521 0.6837892286630172
0.11525000000000002 0.6839052460419136
0.11529000000000003 0.6882949800679444
0.11533000000000002 0.6862126740117657
0.11537000000000003 0.6890107803426131
0.11541000000000001 0.6917767294340673
0.11545000000000002 0.694701626027897
0.11549000000000004 0.6955612663524379
0.11553000000000002 0.6971205835014368
0.11557000000000002 0.6996171569205054
0.11561000000000002 0.6979169594554309
0.11565000000000002 0.7098925394839319
0.11569000000000003 0.7044057476115695
0.11573000000000001 0.7073679634691142
0.11577000000000003 0.7019557586737556
0.11581000000000001 0.7116389355021734
0.11585000000000002 0.7125693411806912
0.11589000000000003 0.7157584073769463
0.11593000000000002 0.7176737059697147
0.11597000000000003 0.7241669762891768
0.11601000000000002 0.7278539579182475
0.11605000000000003 0.7326281549459461
0.11609000000000003 0.7356372262240835
0.11613000000000001 0.7343043679630193
0.11617000000000002 0.7471401979935068
0.11621000000000001 0.7501819408229743
0.11625000000000002 0.7577757171054318
0.11629000000000003 0.7585679414084193
0.11633000000000002 0.7670390527848436
0.11637000000000003 0.778660675320258
0.11641000000000001 0.7774196195605093
0.11645000000000003 0.7827894143487759
0.11649000000000002 0.785862080653677
0.11653000000000002 0.7923355742569748
0.11657000000000002 0.7979788601652883
0.11661000000000002 0.7934692114254588
0.11665000000000002 0.8034227623906737
0.11669000000000003 0.808166114700991
0.11673000000000001 0.8110882715013799
0.11677000000000003 0.814309499134598
0.11681000000000001 0.8162920538471985
0.11685000000000002 0.823004279019421
0.11689000000000004 0.8376963245006985
0.11693000000000002 0.8506520371163574
0.11697000000000003 0.8419923966812071
0.11701000000000002 0.8450847477505254
0.11705000000000002 0.8496248769798941
0.11709000000000003 0.853242263938975
0.11713000000000001 0.8577838380897493
0.11717000000000002 0.863521673460011
0.11721000000000001 0.8656740142524199
0.11725000000000002 0.873175608144385
0.11729000000000003 0.8755473542566573
0.11733000000000002 0.8748221582668368
0.11737000000000003 0.8808271610502291
0.11741000000000001 0.8828117030612558
0.11745000000000003 0.8857002008761341
0.11749000000000002 0.8852583720521752
0.11753000000000002 0.8898560626612897
0.11757000000000002 0.8896319340829784
0.11761 0.8913724016817328
0.11765000000000002 0.880256177330185
0.11769000000000003 0.8864221491555669
0.11773000000000002 0.8919023971412248
0.11777000000000003 0.8938826245528501
0.11781000000000001 0.8960130722147787
0.11785000000000002 0.898780481240459
0.11789000000000004 0.8984310735822115
0.11793000000000002 0.9077065734349796
0.11797000000000002 0.9126396696001273
0.11801000000000002 0.9195949058051686
0.11805000000000002 0.9123578274524173
0.11809000000000003 0.9269729847973365
0.11813000000000001 0.9431573627428947
0.11817000000000003 0.9419423363227839
0.11821000000000001 0.9520934205364164
0.11825000000000002 0.9627473452400862
0.11829000000000003 0.9662178973286246
0.11833000000000002 0.9551109928503939
0.11837000000000003 0.9849909410102308
0.11841000000000002 0.9903008966310953
0.11845000000000003 1.0018090445590864
0.11849000000000003 1.013978343635116
0.11853000000000001 1.0163407770267523
0.11857000000000002 1.031789483809496
0.11861000000000001 1.0088956017617028
0.11865000000000002 1.0448655545664196
0.11869000000000003 1.0578769168518243
0.11873000000000002 1.0717797169943482
0.11877000000000003 1.0811269253039384
0.11881000000000001 1.0950532714017776
0.11885000000000003 1.0984717006064577
0.11889000000000004 1.122017063606517
0.11893000000000002 1.1288160021188727
0.11897000000000002 1.1442914864972356
0.11901000000000002 1.1361083527684008
0.11905000000000002 1.1761772158649504
0.11909000000000003 1.1850052661328128
0.11913000000000001 1.1988197399402223
0.11917000000000003 1.2067542705929248
