# Lambda[um] Flux_nu[mJy]
0.08005000000000001 0.0031848445383505946
0.08015000000000001 0.0
0.08025000000000002 0.014521653676824656
0.08035000000000002 0.0
0.08045000000000002 0.008916233751617594
0.08055000000000001 0.007315214864411301
0.08065000000000001 0.004859997645437765
0.08075000000000002 0.002653531147204511
0.08085000000000002 0.013344145468796285
0.08095000000000001 0.016437313709873252
0.08105000000000001 0.004316696961402545
0.08115000000000001 0.004107692754231997
0.08125000000000002 0.0
0.08135000000000002 0.0
0.08145000000000001 0.01110874995727878
0.08155000000000001 0.0
0.08165000000000001 0.0
0.08175000000000002 0.0
0.08185000000000002 0.0
0.08195000000000001 0.017002742935914687
0.08205000000000001 0.012036528750833353
0.08215000000000001 0.010017386803306442
0.08225000000000002 0.027936484562930533
0.08235000000000002 0.018028717161723933
0.08245000000000001 0.0177323939049861
0.08255000000000001 0.004477954520456949
0.08265000000000002 0.008749761943644359
0.08275000000000002 0.005618888434478228
0.08285000000000002 0.020308972073940567
0.08295000000000001 0.012898772807019716
0.08305000000000001 0.007914382088958356
0.08315000000000002 0.029081639780611162
0.08325000000000002 0.02332592890812483
0.08335000000000002 0.024007683708974433
0.08345000000000001 0.0021835333662730107
0.08355000000000001 0.00787025684615455
0.08365000000000002 0.007749064421093609
0.08375000000000002 0.0247767813675286
0.08385000000000002 0.006543191548534555
0.08395000000000001 0.01577405018474481
0.08405000000000001 0.0020736593046646956
0.08415000000000002 0.01877823053006891
0.08425000000000002 0.009423282005980286
0.08435000000000002 0.011486688200808571
0.08445000000000001 0.018341421142422473
0.08455000000000001 0.008202853655511242
0.08465000000000002 0.01288314773916027
0.08475000000000002 0.017992795660990248
0.08485000000000001 0.026608644470969316
0.08495000000000001 0.030354364860306127
0.08505000000000001 0.01464591886931325
0.08515000000000002 0.01085912775864428
0.08525000000000002 0.018036032447487388
0.08535000000000001 0.025100748340039968
0.08545000000000001 0.025792853492998816
0.08555000000000001 0.005004643954385271
0.08565000000000002 0.005872800842775038
