t1_coadd_object_id,t1_ra,t1_dec,t1_mag_aper_4_g,t1_mag_aper_4_r,t1_mag_aper_4_i,t1_mag_aper_4_z,t1_mag_aper_4_y,t1_magerr_aper_4_g,t1_magerr_aper_4_r,t1_magerr_aper_4_i,t1_magerr_aper_4_z,t1_magerr_aper_4_y,fluxlbs_w1,fluxlbs_w2,dfluxlbs_w1,dfluxlbs_w2,mag_w1_vg,mag_w2_vg,mag_w1_ab,mag_w2_ab,dmag_w1,dmag_w2
931684428,324.850726,-42.589015,16.59947395,16.39365959,16.71150398,15.67686081,15.33211136,0.00031146,0.00027259,0.00041749,0.00025945,0.00057004,33422.754,74348.875,30.999132,95.513985,11.189637,10.32141,13.888637,13.66041,0.001007004986138374,0.0013948158808754663
1556041733,81.563282,-41.218403,16.37479973,16.46563339,17.46332932,15.78396988,15.41530991,0.0002726,0.00029896,0.00059308,0.00025365,0.00054066,3525.5322,5923.622,13.24678,33.45192,13.637177,13.065583,16.336177,16.404583,0.004079528373749045,0.0061313771646253875
995403105,347.111985,-53.411194,17.3934021,16.07078934,17.27444839,15.8926506,14.99840164,0.00049061,0.0002313,0.00059399,0.00037449,0.00036796,10385.307,18389.441,21.238377,52.96528,12.462234,11.837237,15.161234,15.176237,0.0022203748853261967,0.0031271381273172832
979002481,342.171547,-51.16481,15.67311382,16.06835556,17.0936985,15.90231609,15.74335289,0.00032173,0.00026585,0.00055374,0.00033545,0.00066817,30659.105,77761.86,29.45853,95.6131,11.282861,10.272022,13.981861,13.611022,0.001043220033981863,0.001334980983211558
1202849140,27.093035,-27.973787,15.96055698,16.34968185,17.33796692,16.12548447,15.43697929,0.00024508,0.00025622,0.00053535,0.00033763,0.00061082,47139.785,112593.85,36.23562,113.97397,10.819148,9.871126,13.518148,13.210126,0.0008345885441746874,0.0010990446248086987
979097465,342.171892,-45.439281,16.90551567,16.11104584,17.14220238,16.10911369,15.09325314,0.00037136,0.00025477,0.00055419,0.00035826,0.0005753,6881.0796,12015.878,19.04653,46.550224,12.910409,12.295991,15.609409,15.634991000000001,0.0030052707421102725,0.004206206449200033
901157280,308.945956,-57.39155,16.52719498,16.4169693,17.34007645,16.20581245,15.47086334,0.00040836,0.00031713,0.00065158,0.00042,0.00071659,12046.165,27419.508,19.84164,62.73685,12.301916,11.405765,15.000916,14.744765000000001,0.0017883523021457114,0.002484204655221387
1365235479,44.648299,-12.338425,22.01330185,20.27596664,17.44159508,16.42836952,15.70997524,0.01024823,0.00314643,0.00068259,0.00048878,0.00095805,4455.4395,7409.6465,15.318433,43.165936,13.379016,12.824734,16.078015999999998,16.163733999999998,0.003732915082397974,0.006325108698164254
1048638437,2.457463,-54.368942,19.33003044,17.96482086,17.93798447,16.89517403,16.76642036,0.00133117,0.00062721,0.00070311,0.00053794,0.00117665,5319.51,10888.513,14.097838,43.34946,13.186163,12.403765,15.885163,15.742765,0.002877432907432252,0.004322544150768277
983946122,344.187156,0.519867,22.97040939,20.70811462,17.87511253,16.62669182,16.39925766,0.02120589,0.00436159,0.00074867,0.00045832,0.00116119,10149.302,18233.076,21.685806,56.754997,12.488234,11.841991,15.187234,15.180991,0.0023198703421733902,0.00337962475688902
973869060,340.11224,-42.891135,22.84487534,20.92042351,17.94206619,16.47093773,16.61912537,0.02006037,0.00477617,0.00079715,0.00040348,0.00131904,7207.999,11921.944,17.363588,46.7621,12.857268,12.306177,15.556268,15.645177,0.0026154659755229996,0.004258643135760421
1182803195,22.649272,-44.761582,23.1382618,20.84315681,18.02996063,16.48607826,16.24250793,0.02420975,0.00432581,0.00082201,0.00046233,0.00098457,9331.098,14981.765,18.319561,47.643417,12.577462,12.060536,15.276462,15.399536000000001,0.002131604515671687,0.0034527429014731548
1599128797,91.606265,-32.838604,20.80651093,19.9086113,18.39408302,17.36998558,17.27511215,0.00528954,0.00285564,0.00137281,0.00098425,0.00253797,2448.5063,7220.6304,11.133063,39.494354,14.030154,12.852997,16.729154,16.191997,0.00493671164699603,0.005938601984299606
894139096,305.788089,-42.782623,21.96538734,20.0918026,18.31654739,17.22119713,17.25612068,0.01155049,0.00307977,0.00133916,0.00094485,0.00233547,1189.6018,2443.413,10.461062,34.786724,14.807714,14.021654,17.506714000000002,17.360654,0.009547693819578526,0.01545756108023021
1532711648,77.536029,-53.584252,23.73181915,21.84861946,18.84126472,17.39985657,17.17084694,0.04735769,0.01110452,0.00157133,0.0008775,0.00213271,2644.2268,4310.9375,10.563692,28.344734,13.946733,13.415835,16.645733,16.754835,0.004337518574546561,0.0071387961245178615
1056009417,4.311568,-40.913089,23.94843864,21.35347176,18.69285965,17.13261604,16.81541443,0.05437058,0.00755011,0.00139555,0.00069017,0.00160674,4415.826,7495.08,13.957495,39.449944,13.388577,12.812279,16.087577,16.151279,0.0034317832381145835,0.005714713182044855
1207256075,27.920813,-0.865736,22.58786583,21.21393013,19.25257492,17.79957199,17.37476921,0.01969885,0.00708447,0.00216854,0.00110632,0.00225535,4476.846,7104.5303,15.701489,43.751823,13.374403,12.873662,16.073403,16.212661999999998,0.0038079654908637736,0.0066862883610010705
